uncertainty,seed,P,T_star,human_baseline,deadline,beats_human,meets_deadline,solver_status
0.30,0,1,53.30,76,40,true,false,OPTIMAL
0.30,0,2,36.05,76,40,true,true,OPTIMAL
0.30,0,3,36.05,76,40,true,true,OPTIMAL
0.30,0,4,36.05,76,40,true,true,OPTIMAL
0.30,0,6,36.05,76,40,true,true,OPTIMAL
0.30,0,8,36.05,76,40,true,true,OPTIMAL
0.30,1,1,52.10,76,40,true,false,OPTIMAL
0.30,1,2,36.20,76,40,true,true,OPTIMAL
0.30,1,3,36.20,76,40,true,true,OPTIMAL
0.30,1,4,36.20,76,40,true,true,OPTIMAL
0.30,1,6,36.20,76,40,true,true,OPTIMAL
0.30,1,8,36.20,76,40,true,true,OPTIMAL
0.30,2,1,53.75,76,40,true,false,OPTIMAL
0.30,2,2,37.55,76,40,true,true,OPTIMAL
0.30,2,3,37.55,76,40,true,true,OPTIMAL
0.30,2,4,37.55,76,40,true,true,OPTIMAL
0.30,2,6,37.55,76,40,true,true,OPTIMAL
0.30,2,8,37.55,76,40,true,true,OPTIMAL
0.30,3,1,50.90,76,40,true,false,OPTIMAL
0.30,3,2,33.55,76,40,true,true,OPTIMAL
0.30,3,3,33.55,76,40,true,true,OPTIMAL
0.30,3,4,33.55,76,40,true,true,OPTIMAL
0.30,3,6,33.55,76,40,true,true,OPTIMAL
0.30,3,8,33.55,76,40,true,true,OPTIMAL
0.30,4,1,48.00,76,40,true,false,OPTIMAL
0.30,4,2,32.95,76,40,true,true,OPTIMAL
0.30,4,3,32.95,76,40,true,true,OPTIMAL
0.30,4,4,32.95,76,40,true,true,OPTIMAL
0.30,4,6,32.95,76,40,true,true,OPTIMAL
0.30,4,8,32.95,76,40,true,true,OPTIMAL
0.30,5,1,55.70,76,40,true,false,OPTIMAL
0.30,5,2,38.45,76,40,true,true,OPTIMAL
0.30,5,3,38.45,76,40,true,true,OPTIMAL
0.30,5,4,38.45,76,40,true,true,OPTIMAL
0.30,5,6,38.45,76,40,true,true,OPTIMAL
0.30,5,8,38.45,76,40,true,true,OPTIMAL
0.30,6,1,50.70,76,40,true,false,OPTIMAL
0.30,6,2,34.00,76,40,true,true,OPTIMAL
0.30,6,3,34.00,76,40,true,true,OPTIMAL
0.30,6,4,34.00,76,40,true,true,OPTIMAL
0.30,6,6,34.00,76,40,true,true,OPTIMAL
0.30,6,8,34.00,76,40,true,true,OPTIMAL
0.30,7,1,47.45,76,40,true,false,OPTIMAL
0.30,7,2,32.90,76,40,true,true,OPTIMAL
0.30,7,3,32.90,76,40,true,true,OPTIMAL
0.30,7,4,32.90,76,40,true,true,OPTIMAL
0.30,7,6,32.90,76,40,true,true,OPTIMAL
0.30,7,8,32.90,76,40,true,true,OPTIMAL
0.30,8,1,49.60,76,40,true,false,OPTIMAL
0.30,8,2,33.65,76,40,true,true,OPTIMAL
0.30,8,3,33.65,76,40,true,true,OPTIMAL
0.30,8,4,33.65,76,40,true,true,OPTIMAL
0.30,8,6,33.65,76,40,true,true,OPTIMAL
0.30,8,8,33.65,76,40,true,true,OPTIMAL
0.30,9,1,49.10,76,40,true,false,OPTIMAL
0.30,9,2,33.35,76,40,true,true,OPTIMAL
0.30,9,3,33.35,76,40,true,true,OPTIMAL
0.30,9,4,33.35,76,40,true,true,OPTIMAL
0.30,9,6,33.35,76,40,true,true,OPTIMAL
0.30,9,8,33.35,76,40,true,true,OPTIMAL
0.30,10,1,54.50,76,40,true,false,OPTIMAL
0.30,10,2,37.60,76,40,true,true,OPTIMAL
0.30,10,3,37.60,76,40,true,true,OPTIMAL
0.30,10,4,37.60,76,40,true,true,OPTIMAL
0.30,10,6,37.60,76,40,true,true,OPTIMAL
0.30,10,8,37.60,76,40,true,true,OPTIMAL
0.30,11,1,51.25,76,40,true,false,OPTIMAL
0.30,11,2,35.80,76,40,true,true,OPTIMAL
0.30,11,3,35.80,76,40,true,true,OPTIMAL
0.30,11,4,35.80,76,40,true,true,OPTIMAL
0.30,11,6,35.80,76,40,true,true,OPTIMAL
0.30,11,8,35.80,76,40,true,true,OPTIMAL
0.30,12,1,48.35,76,40,true,false,OPTIMAL
0.30,12,2,32.25,76,40,true,true,OPTIMAL
0.30,12,3,32.25,76,40,true,true,OPTIMAL
0.30,12,4,32.25,76,40,true,true,OPTIMAL
0.30,12,6,32.25,76,40,true,true,OPTIMAL
0.30,12,8,32.25,76,40,true,true,OPTIMAL
0.30,13,1,47.90,76,40,true,false,OPTIMAL
0.30,13,2,32.45,76,40,true,true,OPTIMAL
0.30,13,3,32.45,76,40,true,true,OPTIMAL
0.30,13,4,32.45,76,40,true,true,OPTIMAL
0.30,13,6,32.45,76,40,true,true,OPTIMAL
0.30,13,8,32.45,76,40,true,true,OPTIMAL
0.30,14,1,50.40,76,40,true,false,OPTIMAL
0.30,14,2,35.35,76,40,true,true,OPTIMAL
0.30,14,3,35.35,76,40,true,true,OPTIMAL
0.30,14,4,35.35,76,40,true,true,OPTIMAL
0.30,14,6,35.35,76,40,true,true,OPTIMAL
0.30,14,8,35.35,76,40,true,true,OPTIMAL
0.30,15,1,56.60,76,40,true,false,OPTIMAL
0.30,15,2,39.55,76,40,true,true,OPTIMAL
0.30,15,3,39.55,76,40,true,true,OPTIMAL
0.30,15,4,39.55,76,40,true,true,OPTIMAL
0.30,15,6,39.55,76,40,true,true,OPTIMAL
0.30,15,8,39.55,76,40,true,true,OPTIMAL
0.30,16,1,49.15,76,40,true,false,OPTIMAL
0.30,16,2,33.90,76,40,true,true,OPTIMAL
0.30,16,3,33.90,76,40,true,true,OPTIMAL
0.30,16,4,33.90,76,40,true,true,OPTIMAL
0.30,16,6,33.90,76,40,true,true,OPTIMAL
0.30,16,8,33.90,76,40,true,true,OPTIMAL
0.30,17,1,54.40,76,40,true,false,OPTIMAL
0.30,17,2,38.85,76,40,true,true,OPTIMAL
0.30,17,3,38.85,76,40,true,true,OPTIMAL
0.30,17,4,38.85,76,40,true,true,OPTIMAL
0.30,17,6,38.85,76,40,true,true,OPTIMAL
0.30,17,8,38.85,76,40,true,true,OPTIMAL
0.30,18,1,50.65,76,40,true,false,OPTIMAL
0.30,18,2,33.75,76,40,true,true,OPTIMAL
0.30,18,3,33.75,76,40,true,true,OPTIMAL
0.30,18,4,33.75,76,40,true,true,OPTIMAL
0.30,18,6,33.75,76,40,true,true,OPTIMAL
0.30,18,8,33.75,76,40,true,true,OPTIMAL
0.30,19,1,48.75,76,40,true,false,OPTIMAL
0.30,19,2,35.10,76,40,true,true,OPTIMAL
0.30,19,3,35.10,76,40,true,true,OPTIMAL
0.30,19,4,35.10,76,40,true,true,OPTIMAL
0.30,19,6,35.10,76,40,true,true,OPTIMAL
0.30,19,8,35.10,76,40,true,true,OPTIMAL
0.30,20,1,54.70,76,40,true,false,OPTIMAL
