topology,task_count,agent_count,human_share,A,H,W4,L4,B4,sync_T_star,staggered_T_star,delta_T_star_sync_minus_staggered,sync_tightness_relative_gap,staggered_tightness_relative_gap,delta_tightness_sync_minus_staggered,sync_baseline_relative_gap,staggered_baseline_relative_gap
chain,4,2,0.10,54.00,6.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
chain,4,2,0.25,45.00,15.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
chain,4,2,0.50,30.00,30.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
chain,4,4,0.10,54.00,6.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
chain,4,4,0.25,45.00,15.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
chain,4,4,0.50,30.00,30.00,60.00,60.00,60.00,60.000,60.000,0.000,0.0,0.0,0.0,0,0
diamond,4,2,0.10,54.00,6.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
diamond,4,2,0.25,45.00,15.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
diamond,4,2,0.50,30.00,30.00,60.00,48.00,48.00,49.500,49.250,0.250,0.03125,0.02604166666666666666666666667,0.00520833333333333333333333333,0,0
diamond,4,4,0.10,54.00,6.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
diamond,4,4,0.25,45.00,15.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
diamond,4,4,0.50,30.00,30.00,60.00,48.00,48.00,49.500,49.250,0.250,0.03125,0.02604166666666666666666666667,0.00520833333333333333333333333,0,0
fork_join,4,2,0.10,54.00,6.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
fork_join,4,2,0.25,45.00,15.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
fork_join,4,2,0.50,30.00,30.00,60.00,48.00,48.00,49.500,49.250,0.250,0.03125,0.02604166666666666666666666667,0.00520833333333333333333333333,0,0
fork_join,4,4,0.10,54.00,6.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
fork_join,4,4,0.25,45.00,15.00,60.00,48.00,48.00,48.000,48.000,0.000,0.0,0.0,0.0,0,0
fork_join,4,4,0.50,30.00,30.00,60.00,48.00,48.00,49.500,49.250,0.250,0.03125,0.02604166666666666666666666667,0.00520833333333333333333333333,0,0
independent,4,2,0.10,54.00,6.00,60.00,24.00,30.00,30.450,30.450,0.000,0.015,0.015,0.000,0.004926108374384236453201970443,0.01477832512315270935960591133
independent,4,2,0.25,45.00,15.00,60.00,24.00,30.00,31.125,31.125,0.000,0.0375,0.0375,0.0000,0.06024096385542168674698795181,0.03614457831325301204819277108
independent,4,2,0.50,30.00,30.00,60.00,24.00,30.00,35.500,34.500,1.000,0.1833333333333333333333333333,0.15,0.0333333333333333333333333333,0.1056338028169014084507042254,0.09420289855072463768115942029
independent,4,4,0.10,54.00,6.00,60.00,24.00,24.00,24.000,24.000,0.000,0.0,0.0,0.0,0,0
independent,4,4,0.25,45.00,15.00,60.00,24.00,24.00,24.750,24.000,0.750,0.03125,0.0,0.03125,0.01515151515151515151515151515,0.015625
independent,4,4,0.50,30.00,30.00,60.00,24.00,30.00,30.000,30.000,0.000,0.0,0.0,0.0,0,0
two_layer,4,2,0.10,54.00,6.00,60.00,36.00,36.00,36.000,36.000,0.000,0.0,0.0,0.0,0,0
two_layer,4,2,0.25,45.00,15.00,60.00,36.00,36.00,36.750,36.000,0.750,0.02083333333333333333333333333,0.0,0.02083333333333333333333333333,0,0
two_layer,4,2,0.50,30.00,30.00,60.00,36.00,36.00,38.750,37.750,1.000,0.07638888888888888888888888889,0.04861111111111111111111111111,0.02777777777777777777777777778,0.01290322580645161290322580645,0
two_layer,4,4,0.10,54.00,6.00,60.00,36.00,36.00,36.000,36.000,0.000,0.0,0.0,0.0,0,0
two_layer,4,4,0.25,45.00,15.00,60.00,36.00,36.00,36.750,36.000,0.750,0.02083333333333333333333333333,0.0,0.02083333333333333333333333333,0,0
two_layer,4,4,0.50,30.00,30.00,60.00,36.00,36.00,38.750,37.750,1.000,0.07638888888888888888888888889,0.04861111111111111111111111111,0.02777777777777777777777777778,0.01290322580645161290322580645,0
