experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,time_unit,T_h,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_gap_to_optimum,baseline_relative_gap,solver_status,solver_objective,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_queue,exact_blocked_any,tightness_gap,tightness_relative_gap
EXP-01,exp01_chain_n4_p2_rh10_io,83d66e76d50a5f4fb72d65fadd40cb109dfa501543547beb3fc17ac48b5d23e3,chain,4,2,0.10,io,0.025,60,54.00,6.00,60.00,60.00,30.00,6.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.001368,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh10_alternating_sync,346f0201129ea00e4b93b520c1234a80d57f52db368128ede24f845df7c3b73b,chain,4,2,0.10,alternating_sync,0.025,60,54.00,6.00,60.00,60.00,30.00,6.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000607,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh10_alternating_staggered,6df35da459fa14a59499886b265f892b5fe6c56a4925cee099f57364faf934c7,chain,4,2,0.10,alternating_staggered,0.025,60,54.00,6.00,60.00,60.00,30.00,6.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000620,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh25_io,74bd6503659d1e59b902cebda6fa42d322950b440195c03d4bbbafbcb3a793fa,chain,4,2,0.25,io,0.025,60,45.00,15.00,60.00,60.00,30.00,15.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000323,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh25_alternating_sync,1c55dd83b2ac0456c4a319409ad1e347bb8c496d45e1770a07f11c40206391bb,chain,4,2,0.25,alternating_sync,0.025,60,45.00,15.00,60.00,60.00,30.00,15.00,60.00,critical_path,t01->t02->t03->t04,60.000,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000571,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh25_alternating_staggered,07e94eca87a6474d48c68f84ee23d8acdfadbab3acb1b7f251fdf0060f8b4870,chain,4,2,0.25,alternating_staggered,0.025,60,45.00,15.00,60.00,60.00,30.00,15.00,60.00,critical_path,t01->t02->t03->t04,60.000,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000606,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh50_io,211a44b482ddb08177cbb59907ddc6ac02798e75a5b02a43a3585ccdb93dbd5c,chain,4,2,0.50,io,0.025,60,30.00,30.00,60.00,60.00,30.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000316,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh50_alternating_sync,7057da22993942a86575ee158491b6130aa5e8f4672914b07c18245648cc9cdd,chain,4,2,0.50,alternating_sync,0.025,60,30.00,30.00,60.00,60.00,30.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000781,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p2_rh50_alternating_staggered,c32a3dea21230364d1604e149aa9d52490dbb6d701eb6ec6beb7b95adbbf8565,chain,4,2,0.50,alternating_staggered,0.025,60,30.00,30.00,60.00,60.00,30.00,30.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000621,0,0,0.000,0.0
EXP-01,exp01_chain_n4_p4_rh10_io,c5a119674de75e11db26ff6468854f45f5f3bc4806ba1e18c86508bd07abcf79,chain,4,4,0.10,io,0.025,60,54.00,6.00,60.00,60.00,15.00,6.00,60.00,critical_path,t01->t02->t03->t04,60.00,0,0,0.000,0,OPTIMAL,60.000,60.0000,0.0,0.000485,0,0,0.000,0.0
