experiment_id,scenario_id,scenario_sha256,object_id,phase_profile,regime_id,slice_id,policy_id,agent_count,human_share,c_model,C,gamma_model,gamma,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,exact_makespan,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,exact_queue,exact_blocked_any,exact_max_human_queue,exact_agent_productive_utilization,exact_agent_slot_utilization,exact_human_utilization,baseline_makespan,baseline_gap_to_optimum,baseline_relative_gap,baseline_queue,baseline_blocked_any,baseline_max_human_queue,baseline_agent_productive_utilization,baseline_agent_slot_utilization,baseline_human_utilization,delta_T_star_to_next_P,delta_baseline_to_next_P
EXP-02,exp02_practical_v4_c0_g0_rh10_p01,44d1002adfa220f2a5a1d490a81fc9799c2cdd72c91c2dcf0e248aacecab2ab9,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,1,0.10,C0,1,gamma0,1,53.60000,36.70000,53.60000,5.36000,53.60000,work,1->2->3->4->6c,OPTIMAL,53.60000,53.60000,53.600000,0.0,0.003058,0.00000,0.000000,0,0,0,0.900000,1.000000,0.100000,53.60000,0.00000,0.000000,0,0,0,0.900000,1.000000,0.100000,16.90000,16.90000
EXP-02,exp02_practical_v4_c0_g0_rh10_p02,2ae727f1b6f4d4dd9fe4334c1e2e3509ca2bc8db3c7c5a747508661b95fbbba0,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,2,0.10,C0,1,gamma0,1,53.60000,36.70000,26.80000,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004605,0.00000,0.000000,0.69500,0.69500,1,0.657221,0.739714,0.146049,36.70000,0.00000,0.000000,0.8700,0.8700,1,0.657221,0.742098,0.146049,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh10_p03,ddf92e1958e729fb1131ce7e6a44bca85cce7ffe180e9bc3de33611ea3dda353,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,3,0.10,C0,1,gamma0,1,53.60000,36.70000,17.86666666666666666666666667,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004596,0.00000,0.000000,0,0,0,0.438147,0.486830,0.146049,36.70000,0.00000,0.000000,1.5100,1.5100,1,0.438147,0.500545,0.146049,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh10_p04,ab364554c866a57c70ef8b322f49d29190a98599dddcb5547a6684f8b8e0e73c,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,4,0.10,C0,1,gamma0,1,53.60000,36.70000,13.40000,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004855,0.00000,0.000000,0,0,0,0.328610,0.365123,0.146049,36.70000,0.00000,0.000000,1.5100,1.5100,1,0.328610,0.375409,0.146049,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh10_p06,a38cb4639e92cf8fb41eff9f0ea210d656ffda43968ddc79a5367a2449470ceb,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,6,0.10,C0,1,gamma0,1,53.60000,36.70000,8.933333333333333333333333333,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.003340,0.00000,0.000000,0,0,0,0.219074,0.243415,0.146049,36.70000,0.00000,0.000000,1.5100,1.5100,1,0.219074,0.250272,0.146049,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh10_p08,dd3dc508ccf05303abb2ea1660ce1ef593d3a9cb13d3ed9fc290746d0d987188,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,8,0.10,C0,1,gamma0,1,53.60000,36.70000,6.70000,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.003615,0.00000,0.000000,0,0,0,0.164305,0.182561,0.146049,36.70000,0.00000,0.000000,1.5100,1.5100,1,0.164305,0.187704,0.146049,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh10_p12,59d481ec1ede5eb6a159ec77f511e40eac835f8104a77cb8f14dc055076b9423,practical_v4,io,c0_g0_rh10,human_share,bottom_level_fcfs_v1,12,0.10,C0,1,gamma0,1,53.60000,36.70000,4.466666666666666666666666667,5.36000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004108,0.00000,0.000000,0,0,0,0.109537,0.121708,0.146049,36.70000,0.00000,0.000000,1.5100,1.5100,1,0.109537,0.125136,0.146049,,
EXP-02,exp02_practical_v4_c0_g0_rh25_p01,f78d61411353a9e260e65bbf07472a37ac9e772ea7467aece822818233d6d388,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,1,0.25,C0,1,gamma0,1,53.60000,36.70000,53.60000,13.40000,53.60000,work,1->2->3->4->6c,OPTIMAL,53.60000,53.60000,53.600000,0.0,0.001776,0.00000,0.000000,0,0,0,0.750000,1.000000,0.250000,53.60000,0.00000,0.000000,0,0,0,0.750000,1.000000,0.250000,16.90000,16.90000
EXP-02,exp02_practical_v4_c0_g0_rh25_p02,d841dba110c6d1b2519ecf7a3615106584a2fb6ebb8146216a15902178680859,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,2,0.25,C0,1,gamma0,1,53.60000,36.70000,26.80000,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004433,0.00000,0.000000,0.53750,0.53750,1,0.547684,0.737568,0.365123,36.70000,0.00000,0.000000,2.1750,2.1750,1,0.547684,0.759877,0.365123,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh25_p03,318e72a278079697cfae7b7b5cd807890aea251fd992733bdafd657e1be86718,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,3,0.25,C0,1,gamma0,1,53.60000,36.70000,17.86666666666666666666666667,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004607,0.00000,0.000000,0,0,0,0.365123,0.486830,0.365123,36.70000,0.00000,0.000000,3.7750,3.7750,1,0.365123,0.521117,0.365123,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh25_p04,07772728645a7809aceb53a0273fae3662f19777b2bb8632ce8c65f702577981,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,4,0.25,C0,1,gamma0,1,53.60000,36.70000,13.40000,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004942,0.00000,0.000000,0,0,0,0.273842,0.365123,0.365123,36.70000,0.00000,0.000000,3.7750,3.7750,1,0.273842,0.390838,0.365123,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh25_p06,ec75a14aac7ed6d55ece4fbfacf2fb957c9720939414641eb21926b99ee37b29,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,6,0.25,C0,1,gamma0,1,53.60000,36.70000,8.933333333333333333333333333,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.003251,0.00000,0.000000,0,0,0,0.182561,0.243415,0.365123,36.70000,0.00000,0.000000,3.7750,3.7750,1,0.182561,0.260559,0.365123,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh25_p08,7e3d3b256797263cf6e6fe1a13927c31f551d5e8aebfacb62e98c0d6f207e657,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,8,0.25,C0,1,gamma0,1,53.60000,36.70000,6.70000,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.003704,0.00000,0.000000,0,0,0,0.136921,0.182561,0.365123,36.70000,0.00000,0.000000,3.7750,3.7750,1,0.136921,0.195419,0.365123,0.00000,0.00000
EXP-02,exp02_practical_v4_c0_g0_rh25_p12,e9ac4005432f4ff8f78600fbf3137cfcf37eaf64ea4875be600079c2f81b22ab,practical_v4,io,c0_g0_rh25,pure_parallelism_and_human_share,bottom_level_fcfs_v1,12,0.25,C0,1,gamma0,1,53.60000,36.70000,4.466666666666666666666666667,13.40000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.70000,36.70000,36.700000,0.0,0.004108,0.00000,0.000000,0,0,0,0.091281,0.121708,0.365123,36.70000,0.00000,0.000000,3.7750,3.7750,1,0.091281,0.130279,0.365123,,
EXP-02,exp02_practical_v4_c0_g0_rh50_p01,66b316060b5af7d08dac0415797c03d41eee75882a270cbed5e78477b8bae53b,practical_v4,io,c0_g0_rh50,human_share,bottom_level_fcfs_v1,1,0.50,C0,1,gamma0,1,53.60000,36.70000,53.60000,26.80000,53.60000,work,1->2->3->4->6c,OPTIMAL,53.60000,53.60000,53.600000,0.0,0.001792,0.00000,0.000000,0,0,0,0.500000,1.000000,0.500000,53.60000,0.00000,0.000000,0,0,0,0.500000,1.000000,0.500000,16.80000,14.90000
EXP-02,exp02_practical_v4_c0_g0_rh50_p02,815a0a26fbd2c9211d74da657f912888f2201c80031636410a2b0d864da32b95,practical_v4,io,c0_g0_rh50,human_share,bottom_level_fcfs_v1,2,0.50,C0,1,gamma0,1,53.60000,36.70000,26.80000,26.80000,36.70000,critical_path,1->2->3->4->6c,OPTIMAL,36.80000,36.80000,36.800000,0.0,0.005566,0.10000,0.002725,8.65000,8.65000,1,0.364130,0.845788,0.728261,38.70000,1.90000,0.051630,8.8500,8.8500,1,0.346253,0.806848,0.692506,0.10000,0.00000
