experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t01,human_1,1,human,0,0.75,0.75,0,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t01,agent_1,1,agent,0.75,5.25,4.50,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t01,human_2,1,human,5.25,6.00,0.75,5.25,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t02,human_1,2,human,8.25,9.75,1.50,6.00,2.25
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t02,agent_1,2,agent,9.75,18.75,9.00,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t02,human_2,2,human,18.75,20.25,1.50,18.75,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t03,human_1,1,human,6.00,8.25,2.25,6.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t03,agent_1,1,agent,8.25,21.75,13.50,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t03,human_2,1,human,21.75,24.00,2.25,21.75,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t04,human_1,1,human,24.00,27.00,3.00,24.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t04,agent_1,1,agent,27.00,45.00,18.00,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,phase,t04,human_2,1,human,45.00,48.00,3.00,45.00,0.00
EXP-03,exp03_fork_join_n4_p2_rh25_io,baseline,wait,t02,human_1,2,human_queue,6.00,8.25,2.25,6.00,2.25
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t01,human_1,2,human,0.000,0.750,0.750,0.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t01,agent_1,2,agent,0.750,5.250,4.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t01,human_2,2,human,5.250,6.000,0.750,5.250,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t02,human_1,1,human,8.250,9.750,1.500,8.250,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t02,agent_1,1,agent,9.750,18.750,9.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t02,human_2,1,human,18.750,20.250,1.500,18.750,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t03,human_1,2,human,6.000,8.250,2.250,6.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t03,agent_1,2,agent,8.250,21.750,13.500,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t03,human_2,2,human,21.750,24.000,2.250,21.750,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t04,human_1,2,human,24.000,27.000,3.000,24.000,0.000
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t04,agent_1,2,agent,27.000,45.000,18.000,,0
EXP-03,exp03_fork_join_n4_p2_rh25_io,exact,phase,t04,human_2,2,human,45.000,48.000,3.000,45.000,0.000
