experiment_id,scenario_id,scenario_sha256,topology,task_count,agent_count,human_share,phase_profile,policy_id,human_request_count,A,H,W4,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_relative_gap_to_B4,baseline_gap_to_optimum,baseline_relative_gap,exact_makespan,exact_queue,exact_blocked_any,exact_blocked_agent_time,exact_full_agent_stop,exact_maximum_queue_length,exact_mean_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_blocked_agent_time,baseline_full_agent_stop,baseline_maximum_queue_length,baseline_mean_queue_length
EXP-03,exp03_fork_join_n4_p2_rh25_io,de3ddf1411ade82da65447bb7de8a39c19d7c8e02ddc96c8a3274c6faf2a2173,fork_join,4,2,0.25,io,bottom_level_fcfs_v1,8,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.002493,0.000,0.000000,0.000,0.000000,48.000,0,0,0,0,0,0.000000,48.00,2.25,2.25,2.25,2.25,1,0.046875
EXP-03,exp03_fork_join_n4_p2_rh25_front_loaded,959d5fc517d36bbf8d373a2729646b4809632ca3673e27aa447426d39b72b3fb,fork_join,4,2,0.25,front_loaded,bottom_level_fcfs_v1,8,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.001383,0.000,0.000000,0.0000,0.000000,48.000,0,0,0,0,0,0.000000,48.0000,4.0500,4.0500,4.0500,4.0500,1,0.084375
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_sync,d5a6e6be95c550f3d65bdc3f7053683e97f41449a09a528c64cd71ab476e3a2c,fork_join,4,2,0.25,alternating_sync,bottom_level_fcfs_v1,16,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.002783,0.000,0.000000,0.000,0.000000,48.000,0,0,0,0,0,0.000000,48.000,1.125,1.125,1.125,1.125,1,0.023438
EXP-03,exp03_fork_join_n4_p2_rh25_alternating_staggered,c2af03445ed79f5c09b7c25450b2cf394181ab57e072de550b0dcb4454fb260a,fork_join,4,2,0.25,alternating_staggered,bottom_level_fcfs_v1,16,45.00,15.00,60.00,48.00,30.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.003144,0.000,0.000000,0.000,0.000000,48.000,0,0,0,0,0,0.000000,48.000,1.125,1.125,1.125,1.125,1,0.023438
EXP-03,exp03_fork_join_n4_p2_rh50_io,1292f4288b5c4f6f465c1b51e18bd3e411dbfc747030b43f7ce9387e8816888a,fork_join,4,2,0.50,io,bottom_level_fcfs_v1,8,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,51.000,51.0000,0.0,0.001381,3.000,0.062500,0.000,0.000000,51.000,4.500,4.500,4.500,4.500,1,0.088235,51.00,9.00,9.00,9.00,9.00,1,0.176471
EXP-03,exp03_fork_join_n4_p2_rh50_front_loaded,8699961106c0c9e87b5019f7068e35d80e9ec7bac207346cb5c3c212d1a10db1,fork_join,4,2,0.50,front_loaded,bottom_level_fcfs_v1,8,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,50.100,50.1000,0.0,0.001204,2.100,0.043750,0.0000,0.000000,50.100,0,0,0,0,0,0.000000,50.1000,8.1000,8.1000,8.1000,8.1000,1,0.161677
EXP-03,exp03_fork_join_n4_p2_rh50_alternating_sync,d1fa26d8aba20ad68eb68dbe6d69a6c5d836296193606932ab7f2da81993b8db,fork_join,4,2,0.50,alternating_sync,bottom_level_fcfs_v1,16,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,49.500,49.5000,0.0,0.004514,1.500,0.031250,0.000,0.000000,49.500,3.750,3.750,3.750,3.750,1,0.075758,49.50,7.50,7.50,7.50,7.50,1,0.151515
EXP-03,exp03_fork_join_n4_p2_rh50_alternating_staggered,d26a6f3401b488927ec9585b9b04e07f502bd14cc25ee735995e9554d83f9769,fork_join,4,2,0.50,alternating_staggered,bottom_level_fcfs_v1,16,30.00,30.00,60.00,48.00,30.00,30.00,48.00,critical_path,t01->t03->t04,OPTIMAL,49.250,49.2500,0.0,0.003657,1.250,0.026042,0.000,0.000000,49.250,2.500,2.500,2.500,2.500,1,0.050761,49.25,4.75,4.75,4.75,4.75,1,0.096447
EXP-03,exp03_fork_join_n4_p4_rh25_io,ccdb880f66dd33a7432b8d8d7514b78746b5570abff9a6fca2994b7d0e9be5c1,fork_join,4,4,0.25,io,bottom_level_fcfs_v1,8,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.001726,0.000,0.000000,0.000,0.000000,48.000,0,0,0,0,0,0.000000,48.00,2.25,2.25,2.25,0,1,0.046875
EXP-03,exp03_fork_join_n4_p4_rh25_front_loaded,11c946c6a2a5854d0129daf8627e01088b4720dc4dcfdab746d68d52c4a224f1,fork_join,4,4,0.25,front_loaded,bottom_level_fcfs_v1,8,45.00,15.00,60.00,48.00,15.00,15.00,48.00,critical_path,t01->t03->t04,OPTIMAL,48.000,48.0000,0.0,0.001721,0.000,0.000000,0.0000,0.000000,48.000,0,0,0,0,0,0.000000,48.0000,4.0500,4.0500,4.0500,0,1,0.084375
