experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-04B,exp04b_m01_ro000_lh00,baseline,0,1.50,1.50,0,1,1,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,1.50,2.25,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,2.25,6.75,4.50,2,0,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,6.75,7.50,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,7.50,10.50,3.00,1,0,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,10.50,12.00,1.50,0,1,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,12.00,15.00,3.00,0,1,1,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,15.00,17.25,2.25,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,17.25,30.75,13.50,2,0,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,30.75,33.00,2.25,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,baseline,33.00,36.00,3.00,0,1,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,exact,0,1.50000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,exact,1.50000,2.25000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,2.25000,6.75000,4.50000,2,0,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,6.75000,7.50000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,7.50000,10.50000,3.00000,1,0,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,exact,12.00000,15.00000,3.00000,0,1,0,1,3,false
EXP-04B,exp04b_m01_ro000_lh00,exact,15.00000,17.25000,2.25000,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,17.25000,30.75000,13.50000,2,0,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,30.75000,33.00000,2.25000,1,1,0,2,2,false
EXP-04B,exp04b_m01_ro000_lh00,exact,33.00000,36.00000,3.00000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,0,1.50,1.50,0,1,1,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,1.50,2.25,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,2.25,6.75,4.50,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,6.75,7.50,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,7.50,10.50,3.00,1,0,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,10.50,12.00,1.50,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,12.00,14.25,2.25,0,1,2,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,14.25,15.75,1.50,1,1,1,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,15.75,17.25,1.50,2,1,0,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,17.25,24.75,7.50,3,0,0,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,24.75,26.25,1.50,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,26.25,27.75,1.50,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,27.75,29.25,1.50,0,1,1,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,baseline,29.25,31.50,2.25,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,exact,0,1.50000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,exact,1.50000,2.25000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,2.25000,6.75000,4.50000,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,6.75000,7.50000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,7.50000,10.50000,3.00000,1,0,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,exact,12.00000,13.50000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro000_lh00,exact,13.50000,15.75000,2.25000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,15.75000,17.25000,1.50000,2,1,0,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,exact,17.25000,22.50000,5.25000,3,0,0,3,1,false
EXP-04B,exp04b_m02_ro000_lh00,exact,22.50000,26.25000,3.75000,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,26.25000,29.25000,3.00000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro000_lh00,exact,29.25000,31.50000,2.25000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,0,1.50,1.50,0,1,1,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,1.50,2.25,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,2.25,6.75,4.50,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,6.75,7.50,0.75,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,7.50,10.50,3.00,1,0,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,10.50,12.00,1.50,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,12.00,14.25,2.25,0,1,2,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,14.25,15.750,1.500,1,1,1,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,15.750,17.250,1.500,2,1,0,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,17.250,24.900,7.650,3,0,0,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,24.900,26.400,1.500,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,26.400,26.700,0.300,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,26.700,27.75,1.050,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,27.75,29.700,1.950,0,1,1,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,baseline,29.700,31.950,2.250,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,exact,0,1.50000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,exact,1.50000,2.25000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,2.25000,6.75000,4.50000,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,6.75000,7.50000,0.75000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,7.50000,10.50000,3.00000,1,0,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,exact,12.00000,13.50000,1.50000,0,1,0,1,3,false
EXP-04B,exp04b_m02_ro025_lh00,exact,13.50000,15.75000,2.25000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,15.75000,17.25000,1.50000,2,1,0,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,exact,17.25000,22.65000,5.40000,3,0,0,3,1,false
EXP-04B,exp04b_m02_ro025_lh00,exact,22.65000,26.40000,3.75000,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,26.40000,26.70000,0.30000,2,0,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,26.70000,29.25000,2.55000,1,1,0,2,2,false
EXP-04B,exp04b_m02_ro025_lh00,exact,29.25000,29.70000,0.45000,0,1,1,2,2,false
