overhead_rate,lambda_h,minimizing_m_B4,minimum_B4,minimizing_m_T_star,minimum_T_star,minimizing_m_baseline,minimum_baseline,interior_U_shape_T_star,T_star_at_m1,T_star_at_m8,m8_minus_minimum_T_star
0,shared,2,30.00,3,30.00000,3,30.00,false,36.00000,30.00000,0.00000
0.025,0,2,30.00,3,30.00000,3,30.00,true,36.00000,30.63750,0.63750
0.025,0.5,2,30.00,3,30.00000,3,30.00,true,36.00000,30.76875,0.76875
0.025,1,2,30.00,3,30.00000,3,30.00,true,36.00000,30.90000,0.90000
0.05,0,2,30.00,3,30.10000,3,30.10,true,36.00000,31.50000,1.40000
0.05,0.5,2,30.00,3,30.50000,3,30.500,true,36.00000,32.55000,2.05000
0.05,1,2,30.00,3,30.90000,3,30.90,true,36.00000,33.60000,2.70000
0.10,0,2,30.00,3,31.70000,3,31.70,true,36.00000,34.80000,3.10000
0.10,0.5,2,30.00,3,32.50000,3,32.500,true,36.00000,37.35000,4.85000
0.10,1,2,30.00,3,33.30000,3,33.30,true,36.00000,41.40000,8.10000
0.20,0,2,30.00,2,33.00000,2,33.00,true,36.00000,42.45000,9.45000
0.20,0.5,2,30.00,2,34.20000,2,34.200,true,36.00000,48.75000,14.55000
0.20,1,2,30.00,2,35.40000,2,35.40,true,36.00000,56.10000,20.70000
