experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t01,human_1,2,human,1.50,2.25,0.75,0,1.50
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t01,agent_1,2,agent,2.25,6.75,4.50,,0
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t01,human_2,2,human,6.75,7.50,0.75,6.75,0.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t02,human_1,1,human,0,1.50,1.50,0,0
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t02,agent_1,1,agent,1.50,10.50,9.00,,0
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t02,human_2,1,human,10.50,12.00,1.50,10.50,0.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t03,human_1,2,human,15.00,17.25,2.25,12.00,3.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t03,agent_1,2,agent,17.25,30.75,13.50,,0
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t03,human_2,2,human,30.75,33.00,2.25,30.75,0.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t04_part_01,specification,1,human,12.00,15.00,3.00,12.00,0.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t04_part_01,implementation,1,agent,15.00,33.00,18.00,,0
EXP-04B,exp04b_m01_ro000_lh00,baseline,phase,t04_join,acceptance,1,human,33.00,36.00,3.00,33.00,0.00
EXP-04B,exp04b_m01_ro000_lh00,baseline,wait,t01,human_1,2,human_queue,0,1.50,1.50,0,1.50
EXP-04B,exp04b_m01_ro000_lh00,baseline,wait,t03,human_1,2,human_queue,12.00,15.00,3.00,12.00,3.00
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t01,human_1,4,human,1.50000,2.25000,0.75000,1.50000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t01,agent_1,4,agent,2.25000,6.75000,4.50000,,0
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t01,human_2,4,human,6.75000,7.50000,0.75000,6.75000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t02,human_1,3,human,0.00000,1.50000,1.50000,0.00000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t02,agent_1,3,agent,1.50000,10.50000,9.00000,,0
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t02,human_2,3,human,10.50000,12.00000,1.50000,10.50000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t03,human_1,1,human,15.00000,17.25000,2.25000,15.00000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t03,agent_1,1,agent,17.25000,30.75000,13.50000,,0
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t03,human_2,1,human,30.75000,33.00000,2.25000,30.75000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t04_part_01,specification,4,human,12.00000,15.00000,3.00000,12.00000,0.00000
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t04_part_01,implementation,4,agent,15.00000,33.00000,18.00000,,0
EXP-04B,exp04b_m01_ro000_lh00,exact,phase,t04_join,acceptance,1,human,33.00000,36.00000,3.00000,33.00000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t01,human_1,2,human,1.50,2.25,0.75,0,1.50
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t01,agent_1,2,agent,2.25,6.75,4.50,,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t01,human_2,2,human,6.75,7.50,0.75,6.75,0.00
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t02,human_1,1,human,0,1.50,1.50,0,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t02,agent_1,1,agent,1.50,10.50,9.00,,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t02,human_2,1,human,10.50,12.00,1.50,10.50,0.00
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t03,human_1,1,human,12.00,14.25,2.25,12.00,0.00
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t03,agent_1,1,agent,14.25,27.75,13.50,,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t03,human_2,1,human,29.25,31.50,2.25,27.75,1.50
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t04_part_01,specification,2,human,14.25,15.75,1.50,12.00,2.25
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t04_part_01,implementation,2,agent,15.75,24.75,9.00,,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t04_part_02,specification,3,human,15.75,17.25,1.50,12.00,3.75
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t04_part_02,implementation,3,agent,17.25,26.25,9.00,,0
EXP-04B,exp04b_m02_ro000_lh00,baseline,phase,t04_join,acceptance,2,human,26.25,29.25,3.00,26.25,0.00
EXP-04B,exp04b_m02_ro000_lh00,baseline,wait,t01,human_1,2,human_queue,0,1.50,1.50,0,1.50
EXP-04B,exp04b_m02_ro000_lh00,baseline,wait,t03,human_2,1,human_queue,27.75,29.25,1.50,27.75,1.50
EXP-04B,exp04b_m02_ro000_lh00,baseline,wait,t04_part_01,specification,2,human_queue,12.00,14.25,2.25,12.00,2.25
EXP-04B,exp04b_m02_ro000_lh00,baseline,wait,t04_part_02,specification,3,human_queue,12.00,15.75,3.75,12.00,3.75
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t01,human_1,4,human,1.50000,2.25000,0.75000,1.50000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t01,agent_1,4,agent,2.25000,6.75000,4.50000,,0
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t01,human_2,4,human,6.75000,7.50000,0.75000,6.75000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t02,human_1,1,human,0.00000,1.50000,1.50000,0.00000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t02,agent_1,1,agent,1.50000,10.50000,9.00000,,0
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t02,human_2,1,human,10.50000,12.00000,1.50000,10.50000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t03,human_1,3,human,13.50000,15.75000,2.25000,13.50000,0.00000
EXP-04B,exp04b_m02_ro000_lh00,exact,phase,t03,agent_1,3,agent,15.75000,29.25000,13.50000,,0
