experiment_id,scenario_id,semantic_sha256,m,overhead_rate,lambda_h,alias_count,aliases,policy_id,task_count,total_overhead,human_overhead,agent_overhead,useful_W4,useful_H,W4,H,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_gap_to_B4,exact_critical_chain,baseline_gap_to_optimum,exact_makespan,exact_queue,exact_blocked_any,exact_full_agent_stop,exact_maximum_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_full_agent_stop,baseline_maximum_queue_length
EXP-04B,exp04b_m01_ro000_lh00,b9848e6e8237dde836294860c52572b6c4924bbee59f8816e060071de963404a,1,0,0,15,"m=1,r_o=0,lambda_h=0;m=1,r_o=0,lambda_h=0.5;m=1,r_o=0,lambda_h=1;m=1,r_o=0.025,lambda_h=0;m=1,r_o=0.025,lambda_h=0.5;m=1,r_o=0.025,lambda_h=1;m=1,r_o=0.05,lambda_h=0;m=1,r_o=0.05,lambda_h=0.5;m=1,r_o=0.05,lambda_h=1;m=1,r_o=0.10,lambda_h=0;m=1,r_o=0.10,lambda_h=0.5;m=1,r_o=0.10,lambda_h=1;m=1,r_o=0.20,lambda_h=0;m=1,r_o=0.20,lambda_h=0.5;m=1,r_o=0.20,lambda_h=1",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,15.00,15.00,36.00,critical_path,t02->t04_part_01->t04_join,OPTIMAL,36.00000,36.000000,0.0,0.002972,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [precedence] t04_join.acceptance,0.00000,36.00000,0,0,0,0,36.00,4.50,4.50,0,1
EXP-04B,exp04b_m02_ro000_lh00,4569c923bf0d590f223c26c9f43e25788bd8385b7678c83a331d5c1c85a9b7d0,2,0,0,3,"m=2,r_o=0,lambda_h=0;m=2,r_o=0,lambda_h=0.5;m=2,r_o=0,lambda_h=1",bottom_level_fcfs_v1,6,0,0,0,60.00,15.00,60.00,15.00,30.00,15.00,15.00,30.00,critical_path,t02->t03,OPTIMAL,31.50000,31.500000,0.0,0.003462,1.50000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2,0.00000,31.50000,0,0,0,0,31.50,9.00,6.75,0,2
EXP-04B,exp04b_m02_ro025_lh00,5daf83402a0fdac11054a279af535dcad5e5a61f8d7da02f46d4cd62ad6b8736,2,0.025,0,1,"m=2,r_o=0.025,lambda_h=0",bottom_level_fcfs_v1,6,0.600,0.000,0.600,60.00,15.00,60.600,15.000,30.00,15.150,15.000,30.00,critical_path,t02->t03,OPTIMAL,31.95000,31.950000,0.0,0.003550,1.95000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance -> [human] t03.human_2,0.00000,31.95000,0.45000,0.45000,0,1,31.950,9.450,7.200,0,2
EXP-04B,exp04b_m02_ro025_lh05,ad1d7706f63019be8ca40ce0cbfe28e8a2b6eb01eac0f71af2421aed28a68f22,2,0.025,0.5,1,"m=2,r_o=0.025,lambda_h=0.5",bottom_level_fcfs_v1,6,0.600,0.3000,0.3000,60.00,15.00,60.6000,15.3000,30.00,15.1500,15.3000,30.00,critical_path,t02->t03,OPTIMAL,32.02500,32.025000,0.0,0.003791,2.02500,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance -> [human] t03.human_2,0.00000,32.02500,0.45000,0.45000,0,1,32.0250,9.6000,7.3500,0,2
EXP-04B,exp04b_m02_ro025_lh10,ff24eb252d9b43f4ce197fbb73bc70a80917a715cc24b0e26690132bff85a5f5,2,0.025,1,1,"m=2,r_o=0.025,lambda_h=1",bottom_level_fcfs_v1,6,0.600,0.600,0.000,60.00,15.00,60.600,15.600,30.00,15.150,15.600,30.00,critical_path,t02->t03,OPTIMAL,32.10000,32.100000,0.0,0.002990,2.10000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.acceptance -> [human] t03.human_2,0.00000,32.10000,0.45000,0.45000,0,1,32.100,9.750,7.500,0,2
EXP-04B,exp04b_m02_ro050_lh00,debf880694450a2827030c425662fd175d1c1ad72734d23a3cea90f0d6e1b055,2,0.05,0,1,"m=2,r_o=0.05,lambda_h=0",bottom_level_fcfs_v1,6,1.20,0.00,1.20,60.00,15.00,61.20,15.00,30.00,15.30,15.00,30.00,critical_path,t02->t03,OPTIMAL,32.40000,32.400000,0.0,0.003605,2.40000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance -> [human] t03.human_2,0.00000,32.40000,0.90000,0.90000,0,1,32.40,9.90,7.65,0,2
EXP-04B,exp04b_m02_ro050_lh05,1794877cd12d4f9d26a80631dae03b5c5cae778daea640b116c5602340d28f02,2,0.05,0.5,1,"m=2,r_o=0.05,lambda_h=0.5",bottom_level_fcfs_v1,6,1.20,0.600,0.600,60.00,15.00,61.200,15.600,30.00,15.300,15.600,30.00,critical_path,t02->t03,OPTIMAL,32.55000,32.550000,0.0,0.003575,2.55000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance -> [human] t03.human_2,0.00000,32.55000,0.90000,0.90000,0,1,32.550,10.200,7.950,0,2
EXP-04B,exp04b_m02_ro050_lh10,c6a4ae68450400376f239e49d5c16cc680c5fb6f86ad101cfc2c0a0f19c68ff0,2,0.05,1,1,"m=2,r_o=0.05,lambda_h=1",bottom_level_fcfs_v1,6,1.20,1.20,0.00,60.00,15.00,61.20,16.20,30.00,15.30,16.20,30.00,critical_path,t02->t03,OPTIMAL,32.70000,32.700000,0.0,0.003055,2.70000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_01.specification -> [human] t03.human_1 -> [human] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.acceptance -> [human] t03.human_2,0.00000,32.70000,0.90000,0.90000,0,1,32.70,10.50,8.25,0,2
EXP-04B,exp04b_m02_ro100_lh00,b60ac8ec0e22af7d210515005db5e28d8ccb525542310eeeebb7612918b36bab,2,0.10,0,1,"m=2,r_o=0.10,lambda_h=0",bottom_level_fcfs_v1,6,2.40,0.00,2.40,60.00,15.00,62.40,15.00,30.00,15.60,15.00,30.00,critical_path,t02->t03,OPTIMAL,33.00000,33.000000,0.0,0.003393,3.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_02.specification -> [human] t04_part_01.specification -> [human] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2,0.00000,33.00000,0,0,0,0,33.00,9.45,7.20,0,2
EXP-04B,exp04b_m02_ro100_lh05,20d18210a37724c9d24d8990fb9be172e8beea101d57bdf1ccd79264ced6a226,2,0.10,0.5,1,"m=2,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,6,2.40,1.200,1.200,60.00,15.00,62.400,16.200,30.00,15.600,16.200,30.00,critical_path,t02->t03,OPTIMAL,33.60000,33.600000,0.0,0.003306,3.60000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [precedence] t04_part_02.specification -> [human] t04_part_01.specification -> [human] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2,0.00000,33.60000,0,0,0,0,33.600,10.050,7.800,0,2
