experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-05,exp05_p01_m01_ro000_lh00,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,18.00,21.00,3.00,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,21.00,39.00,18.00,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,baseline,39.00,41.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,41.25,54.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,baseline,54.75,57.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,baseline,57.00,60.00,3.00,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,0,1.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,1.50000,10.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,12.00000,12.75000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,12.75000,17.25000,4.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,exact,17.25000,18.00000,0.75000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,18.00000,21.00000,3.00000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,21.00000,39.00000,18.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,exact,39.00000,41.25000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,41.25000,54.75000,13.50000,1,0,0,1,0,false
EXP-05,exp05_p01_m01_ro000_lh00,exact,54.75000,57.00000,2.25000,0,1,0,1,0,true
EXP-05,exp05_p01_m01_ro000_lh00,exact,57.00000,60.00000,3.00000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,0,1.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,1.50,10.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,baseline,10.50,12.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,12.00,12.75,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,12.75,17.25,4.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,baseline,17.25,18.00,0.75,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,18.00,20.25,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,20.25,33.75,13.50,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,baseline,33.75,36.00,2.25,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,36.00,37.50,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,37.50,46.50,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,baseline,46.50,48.00,1.50,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,baseline,48.00,57.00,9.00,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,baseline,57.00,60.00,3.00,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,0,1.50000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,1.50000,10.50000,9.00000,1,0,0,1,0,false
EXP-05,exp05_p01_m02_ro000_lh00,exact,10.50000,12.00000,1.50000,0,1,0,1,0,true
EXP-05,exp05_p01_m02_ro000_lh00,exact,12.00000,12.75000,0.75000,0,1,0,1,0,true
