experiment_id,scenario_id,semantic_sha256,P,m,overhead_rate,lambda_h,alias_count,aliases,policy_id,task_count,total_overhead,human_overhead,agent_overhead,useful_W4,useful_H,W4,H,L4,W4_over_P,gamma_H,B4,active_branches,critical_path,solver_status,T_star,incumbent_makespan,solver_best_bound,solver_gap,solver_wall_time_seconds,incumbent_gap_to_B4,exact_critical_chain,baseline_gap_to_optimum,exact_makespan,exact_queue,exact_blocked_any,exact_full_agent_stop,exact_maximum_queue_length,baseline_makespan,baseline_queue,baseline_blocked_any,baseline_full_agent_stop,baseline_maximum_queue_length,canonical_scenario_id,analysis_overhead_rate,analysis_lambda_h,decomposition_gain_at_P,decomposition_gain_at_P1,interaction_contrast
EXP-05,exp05_p01_m01_ro000_lh00,a4000864fa4d7601ff720eccb944460d57e7a60c01617bbee0308e4d36199807,1,1,0,0,6,"P=1,m=1,r_o=0,lambda_h=0;P=1,m=1,r_o=0,lambda_h=0.5;P=1,m=1,r_o=0.05,lambda_h=0;P=1,m=1,r_o=0.05,lambda_h=0.5;P=1,m=1,r_o=0.10,lambda_h=0;P=1,m=1,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,60.00,15.00,60.00,work,t02->t04_part_01->t04_join,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.002062,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m01_ro000_lh00,0,shared,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,a4000864fa4d7601ff720eccb944460d57e7a60c01617bbee0308e4d36199807,1,1,0.05,0,6,"P=1,m=1,r_o=0,lambda_h=0;P=1,m=1,r_o=0,lambda_h=0.5;P=1,m=1,r_o=0.05,lambda_h=0;P=1,m=1,r_o=0.05,lambda_h=0.5;P=1,m=1,r_o=0.10,lambda_h=0;P=1,m=1,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,60.00,15.00,60.00,work,t02->t04_part_01->t04_join,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.002062,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m01_ro000_lh00,0.05,0,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,a4000864fa4d7601ff720eccb944460d57e7a60c01617bbee0308e4d36199807,1,1,0.05,0.5,6,"P=1,m=1,r_o=0,lambda_h=0;P=1,m=1,r_o=0,lambda_h=0.5;P=1,m=1,r_o=0.05,lambda_h=0;P=1,m=1,r_o=0.05,lambda_h=0.5;P=1,m=1,r_o=0.10,lambda_h=0;P=1,m=1,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,60.00,15.00,60.00,work,t02->t04_part_01->t04_join,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.002062,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m01_ro000_lh00,0.05,0.5,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,a4000864fa4d7601ff720eccb944460d57e7a60c01617bbee0308e4d36199807,1,1,0.10,0,6,"P=1,m=1,r_o=0,lambda_h=0;P=1,m=1,r_o=0,lambda_h=0.5;P=1,m=1,r_o=0.05,lambda_h=0;P=1,m=1,r_o=0.05,lambda_h=0.5;P=1,m=1,r_o=0.10,lambda_h=0;P=1,m=1,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,60.00,15.00,60.00,work,t02->t04_part_01->t04_join,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.002062,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m01_ro000_lh00,0.10,0,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m01_ro000_lh00,a4000864fa4d7601ff720eccb944460d57e7a60c01617bbee0308e4d36199807,1,1,0.10,0.5,6,"P=1,m=1,r_o=0,lambda_h=0;P=1,m=1,r_o=0,lambda_h=0.5;P=1,m=1,r_o=0.05,lambda_h=0;P=1,m=1,r_o=0.05,lambda_h=0.5;P=1,m=1,r_o=0.10,lambda_h=0;P=1,m=1,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,5,0,0,0,60.00,15.00,60.00,15.00,36.00,60.00,15.00,60.00,work,t02->t04_part_01->t04_join,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.002062,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m01_ro000_lh00,0.10,0.5,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m02_ro000_lh00,da7ddd8348aa95af38048503db9611ca280266dd55e4ed2a71a7b65d2837094e,1,2,0,0,2,"P=1,m=2,r_o=0,lambda_h=0;P=1,m=2,r_o=0,lambda_h=0.5",bottom_level_fcfs_v1,6,0,0,0,60.00,15.00,60.00,15.00,30.00,60.00,15.00,60.00,work,t02->t03,OPTIMAL,60.00000,60.00000,60.000000,0.0,0.001485,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.acceptance,0.00000,60.00000,0,0,15.00000,0,60.00,0,0,15.00,0,exp05_p01_m02_ro000_lh00,0,shared,0.00000,0.00000,0.00000
EXP-05,exp05_p01_m02_ro050_lh00,e4da02f27bda9415f0b6b3b52dc092531a4fcb0b4550115f301471f6e8d27ec1,1,2,0.05,0,1,"P=1,m=2,r_o=0.05,lambda_h=0",bottom_level_fcfs_v1,6,1.20,0.00,1.20,60.00,15.00,61.20,15.00,30.00,61.20,15.00,61.20,work,t02->t03,OPTIMAL,61.20000,61.20000,61.200000,0.0,0.001190,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,61.20000,0,0,15.00000,0,61.20,0,0,15.00,0,exp05_p01_m02_ro050_lh00,0.05,0,-1.20000,-1.20000,0.00000
EXP-05,exp05_p01_m02_ro050_lh05,dd07b1e46171e7e1c66c635839268f2e8c96969b11c9286cb5957cb8ec4854f4,1,2,0.05,0.5,1,"P=1,m=2,r_o=0.05,lambda_h=0.5",bottom_level_fcfs_v1,6,1.20,0.600,0.600,60.00,15.00,61.200,15.600,30.00,61.200,15.600,61.200,work,t02->t03,OPTIMAL,61.20000,61.20000,61.200000,0.0,0.001239,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,61.20000,0,0,15.60000,0,61.200,0,0,15.600,0,exp05_p01_m02_ro050_lh05,0.05,0.5,-1.20000,-1.20000,0.00000
EXP-05,exp05_p01_m02_ro100_lh00,64172f19ab956533cdeae5d2517c4cebb7537f10b06623428a877a0da8a76490,1,2,0.10,0,1,"P=1,m=2,r_o=0.10,lambda_h=0",bottom_level_fcfs_v1,6,2.40,0.00,2.40,60.00,15.00,62.40,15.00,30.00,62.40,15.00,62.40,work,t02->t03,OPTIMAL,62.40000,62.40000,62.400000,0.0,0.001485,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,62.40000,0,0,15.00000,0,62.40,0,0,15.00,0,exp05_p01_m02_ro100_lh00,0.10,0,-2.40000,-2.40000,0.00000
EXP-05,exp05_p01_m02_ro100_lh05,91569abeb99bcad041aa3c13a50135882bb28d57e34205a6390542299a9117d5,1,2,0.10,0.5,1,"P=1,m=2,r_o=0.10,lambda_h=0.5",bottom_level_fcfs_v1,6,2.40,1.200,1.200,60.00,15.00,62.400,16.200,30.00,62.400,16.200,62.400,work,t02->t03,OPTIMAL,62.40000,62.40000,62.400000,0.0,0.001343,0.00000,t02.human_1 -> [task] t02.agent_1 -> [task] t02.human_2 -> [human] t01.human_1 -> [task] t01.agent_1 -> [task] t01.human_2 -> [precedence] t03.human_1 -> [task] t03.agent_1 -> [task] t03.human_2 -> [human] t04_part_01.specification -> [task] t04_part_01.implementation -> [agent] t04_part_02.specification -> [task] t04_part_02.implementation -> [precedence] t04_join.integration -> [task] t04_join.acceptance,0.00000,62.40000,0,0,16.20000,0,62.400,0,0,16.200,0,exp05_p01_m02_ro100_lh05,0.10,0.5,-2.40000,-2.40000,0.00000
