P,overhead_rate,lambda_h,all_m_optimal,minimizing_ms_T_star,minimizing_m_T_star,minimum_T_star,minimizing_m_B4,minimum_B4,minimizing_m_baseline,minimum_baseline
1,0,shared,true,1;2;3;4;6;8,1,60.00000,1,60.00,1,60.00
1,0.05,0,true,1,1,60.00000,1,60.00,1,60.00
1,0.05,0.5,true,1,1,60.00000,1,60.00,1,60.00
1,0.10,0,true,1,1,60.00000,1,60.00,1,60.00
1,0.10,0.5,true,1,1,60.00000,1,60.00,1,60.00
2,0,shared,true,6,6,34.75000,2,30.00,1,36.00
2,0.05,0,true,1,1,36.00000,2,30.60,1,36.00
2,0.05,0.5,true,1,1,36.00000,2,30.600,1,36.00
2,0.10,0,true,1,1,36.00000,2,31.20,1,36.00
2,0.10,0.5,true,1,1,36.00000,2,31.200,1,36.00
3,0,shared,true,8,8,30.37500,2,30.00,8,30.375
3,0.05,0,true,4,4,31.50000,2,30.00,2,32.40
3,0.05,0.5,true,4,4,31.95000,2,30.00,2,32.550
3,0.10,0,true,2,2,33.00000,2,30.00,2,33.00
3,0.10,0.5,true,2,2,33.60000,2,30.00,2,33.600
4,0,shared,true,3;4;6;8,3,30.00000,2,30.00,3,30.00
4,0.05,0,true,3,3,30.10000,2,30.00,3,30.10
4,0.05,0.5,true,3,3,30.50000,2,30.00,3,30.500
4,0.10,0,true,3,3,31.70000,2,30.00,3,31.70
4,0.10,0.5,true,3,3,32.50000,2,30.00,3,32.500
6,0,shared,true,3;4;6;8,3,30.00000,2,30.00,3,30.00
6,0.05,0,true,4,4,30.00000,2,30.00,4,30.00
6,0.05,0.5,true,4,4,30.00000,2,30.00,4,30.00
6,0.10,0,true,4,4,31.50000,2,30.00,4,31.50
6,0.10,0.5,true,3,3,32.50000,2,30.00,3,32.500
8,0,shared,true,3;4;6;8,3,30.00000,2,30.00,3,30.00
8,0.05,0,true,4;6;8,4,30.00000,2,30.00,4,30.00
8,0.05,0.5,true,4,4,30.00000,2,30.00,4,30.00
8,0.10,0,true,4,4,31.50000,2,30.00,4,31.50
8,0.10,0.5,true,3,3,32.50000,2,30.00,3,32.500
