experiment_id,scenario_id,schedule_kind,start,end,duration,active_agent_phases,active_human_phases,human_queue_length,occupied_agent_slots,free_agent_slots,full_agent_stop
EXP-06A,exp06a_practical_variant_3_k025,baseline,0,0.250,0.250,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,0.250,1.050,0.800,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,1.050,1.300,0.250,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,1.300,1.675,0.375,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,1.675,1.925,0.250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,1.925,2.625,0.700,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,2.625,2.875,0.250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,2.875,3.025,0.150,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,3.025,3.125,0.100,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,3.125,3.500,0.375,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,3.500,4.000,0.500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,4.000,4.025,0.025,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,4.025,4.275,0.250,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,4.275,6.200,1.925,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,6.200,6.700,0.500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,6.700,7.075,0.375,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,7.075,8.575,1.500,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,8.575,8.950,0.375,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,8.950,9.325,0.375,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,9.325,10.525,1.200,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,baseline,10.525,10.900,0.375,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,0,0.2500,0.2500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,0.2500,1.0500,0.8000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,1.0500,1.3000,0.2500,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,1.3000,1.6750,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,1.6750,1.9250,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,1.9250,2.6250,0.7000,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,2.6250,2.8750,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,2.8750,3.0250,0.1500,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,3.0250,3.4000,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,3.4000,3.9000,0.5000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,3.9000,4.1500,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,4.1500,5.0500,0.9000,2,0,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,5.0500,5.3000,0.2500,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k025,exact,5.3000,6.1000,0.8000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,6.1000,6.6000,0.5000,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,6.6000,6.9750,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,6.9750,8.4750,1.5000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,8.4750,8.8500,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,8.8500,9.2250,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,9.2250,10.4250,1.2000,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k025,exact,10.4250,10.8000,0.3750,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,0,0.50,0.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,0.50,2.10,1.60,1,0,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,2.10,2.60,0.50,0,1,0,1,3,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,2.60,3.35,0.75,0,1,1,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,3.35,3.85,0.50,1,1,0,2,2,false
EXP-06A,exp06a_practical_variant_3_k050,baseline,3.85,5.25,1.40,2,0,0,2,2,false
