experiment_id,scenario_id,schedule_kind,record_type,task_id,phase_id,agent,resource,start,end,duration,request_time,waiting_before
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,1,specification,1,human,0,0.250,0.250,0,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,1,implementation,1,agent,0.250,1.050,0.800,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,1,review,1,human,1.050,1.300,0.250,1.050,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,2,specification,1,human,1.300,1.675,0.375,1.300,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,2,implementation,1,agent,1.675,3.025,1.350,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,2,review,1,human,3.125,3.500,0.375,3.025,0.100
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,3,specification,1,human,3.500,4.000,0.500,3.500,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,3,implementation,1,agent,4.000,6.200,2.200,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,3,review,1,human,6.200,6.700,0.500,6.200,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,4,specification,1,human,6.700,7.075,0.375,6.700,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,4,implementation,1,agent,7.075,8.575,1.500,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,4,review,1,human,8.575,8.950,0.375,8.575,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,5,specification,2,human,1.675,1.925,0.250,1.300,0.375
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,5,implementation,2,agent,1.925,2.625,0.700,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,5,review,2,human,2.625,2.875,0.250,2.625,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,6,specification,1,human,8.950,9.325,0.375,8.950,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,6,implementation,1,agent,9.325,10.525,1.200,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,6,review,1,human,10.525,10.900,0.375,10.525,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,7,specification,2,human,2.875,3.125,0.250,2.875,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,7,implementation,2,agent,3.125,4.025,0.900,,0
EXP-06A,exp06a_practical_variant_3_k025,baseline,phase,7,review,2,human,4.025,4.275,0.250,4.025,0.000
EXP-06A,exp06a_practical_variant_3_k025,baseline,wait,2,review,1,human_queue,3.025,3.125,0.100,3.025,0.100
EXP-06A,exp06a_practical_variant_3_k025,baseline,wait,5,specification,2,human_queue,1.300,1.675,0.375,1.300,0.375
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,1,specification,4,human,0.0000,0.2500,0.2500,0.0000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,1,implementation,4,agent,0.2500,1.0500,0.8000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,1,review,4,human,1.0500,1.3000,0.2500,1.0500,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,2,specification,3,human,1.3000,1.6750,0.3750,1.3000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,2,implementation,3,agent,1.6750,3.0250,1.3500,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,2,review,3,human,3.0250,3.4000,0.3750,3.0250,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,3,specification,1,human,3.4000,3.9000,0.5000,3.4000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,3,implementation,1,agent,3.9000,6.1000,2.2000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,3,review,1,human,6.1000,6.6000,0.5000,6.1000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,4,specification,1,human,6.6000,6.9750,0.3750,6.6000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,4,implementation,1,agent,6.9750,8.4750,1.5000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,4,review,1,human,8.4750,8.8500,0.3750,8.4750,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,5,specification,1,human,1.6750,1.9250,0.2500,1.6750,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,5,implementation,1,agent,1.9250,2.6250,0.7000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,5,review,1,human,2.6250,2.8750,0.2500,2.6250,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,6,specification,1,human,8.8500,9.2250,0.3750,8.8500,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,6,implementation,1,agent,9.2250,10.4250,1.2000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,6,review,1,human,10.4250,10.8000,0.3750,10.4250,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,7,specification,4,human,3.9000,4.1500,0.2500,3.9000,0.0000
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,7,implementation,4,agent,4.1500,5.0500,0.9000,,0
EXP-06A,exp06a_practical_variant_3_k025,exact,phase,7,review,4,human,5.0500,5.3000,0.2500,5.0500,0.0000
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,1,specification,1,human,0,0.50,0.50,0,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,1,implementation,1,agent,0.50,2.10,1.60,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,1,review,1,human,2.10,2.60,0.50,2.10,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,2,specification,1,human,2.60,3.35,0.75,2.60,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,2,implementation,1,agent,3.35,6.05,2.70,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,2,review,1,human,6.25,7.00,0.75,6.05,0.20
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,3,specification,1,human,7.00,8.00,1.00,7.00,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,3,implementation,1,agent,8.00,12.40,4.40,,0
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,3,review,1,human,12.40,13.40,1.00,12.40,0.00
EXP-06A,exp06a_practical_variant_3_k050,baseline,phase,4,specification,1,human,13.40,14.15,0.75,13.40,0.00
