experiment_id,object_id,kappa,scenario_id,scenario_sha256,solver_status,T_star,incumbent_makespan,solver_best_bound,solver_gap,solver_wall_time_seconds,B4,W4,H,L4,active_branches,baseline_makespan,baseline_queue,exact_queue
EXP-06A,practical_variant_3,0.25,exp06a_practical_variant_3_k025,067ef9b4ade7873dd3f0f09c27ef63654926a5243359da2d3ea5bbe34cf711f4,OPTIMAL,10.8000,10.8000,10.80000,0.0,0.003800,10.8000,13.4000,4.7500,10.8000,critical_path,10.900,0.475,0
EXP-06A,practical_variant_3,0.5,exp06a_practical_variant_3_k050,352f6c179ff1816903fe6c4db9e5331f7a1ac99e22e049b3ed32df08faffc964,OPTIMAL,21.600,21.600,21.6000,0.0,0.002423,21.600,26.800,9.500,21.600,critical_path,21.80,0.95,0
EXP-06A,practical_variant_3,1,exp06a_practical_variant_3_k100,2f266457854625fb18b62cedd9a532adf88d85f0e5f3340f6ce357c3886e15ca,OPTIMAL,43.20,43.20,43.200,0.0,0.003241,43.20,53.60,19.00,43.20,critical_path,43.6,1.9,0
EXP-06A,practical_variant_3,2,exp06a_practical_variant_3_k200,eed02d0fa1ae56ea7a1e875db5ace1c025c777452774fd8a7e4336010f152776,OPTIMAL,86.40,86.40,86.400,0.0,0.002469,86.40,107.20,38.00,86.40,critical_path,87.2,3.8,0
EXP-06A,practical_variant_3,4,exp06a_practical_variant_3_k400,e812437a18e8e779ded7e910f7223a25589601af4a7aa9536ffe471f536f8c39,OPTIMAL,172.80,172.80,172.800,0.0,0.002876,172.80,214.40,76.00,172.80,critical_path,174.4,7.6,0
EXP-06A,practical_variant_4,0.25,exp06a_practical_variant_4_k025,46da8e0691ce32c84202481f1ff17f73b9bcfb76cccbc6575a7fcf1abfc0bb5f,OPTIMAL,9.1750,9.1750,9.17500,0.0,0.005682,9.17500,13.40000,4.75000,9.17500,critical_path,9.2750,1.5125,0
EXP-06A,practical_variant_4,0.5,exp06a_practical_variant_4_k050,7f90386d4f053df53b5fa2ecae1694bf06500d2b11401efe2aec8421f7690aad,OPTIMAL,18.350,18.350,18.3500,0.0,0.005377,18.3500,26.8000,9.5000,18.3500,critical_path,18.550,3.025,0
EXP-06A,practical_variant_4,1,exp06a_practical_variant_4_k100,bd204e517a495a6854c350e0ed9e899287f5883f5ce32e4707d5768e57e4583e,OPTIMAL,36.70,36.70,36.700,0.0,0.005443,36.700,53.600,19.000,36.700,critical_path,37.10,6.05,0
EXP-06A,practical_variant_4,2,exp06a_practical_variant_4_k200,dd5e807345e433c486bca902a5b44bcda9aaa33fd68858a3e645a3a0f4f31b54,OPTIMAL,73.40,73.40,73.400,0.0,0.005352,73.400,107.200,38.000,73.400,critical_path,74.20,12.10,0
EXP-06A,practical_variant_4,4,exp06a_practical_variant_4_k400,589e868d12ef19cb0aa66bcc45fa87f643d30e95bd906d60551a09ee91ac863e,OPTIMAL,146.80,146.80,146.800,0.0,0.005666,146.800,214.400,76.000,146.800,critical_path,148.40,24.20,0
EXP-06A,canonical_m1,0.25,exp06a_canonical_m1_k025,8ab783a7b3f96fda21621d369b33e91de50877474b97881f15b7095e28186cf5,OPTIMAL,9.0000000,9.0000000,9.00000000,0.0,0.001757,9.0000,15.0000,3.7500,9.0000,critical_path,9.0000,1.1250,0
EXP-06A,canonical_m1,0.5,exp06a_canonical_m1_k050,a8fe84e787a1d8e0e946fda5ade741e2c63e27e9e8bd61b5bf5789f712c63811,OPTIMAL,18.000000,18.000000,18.0000000,0.0,0.001568,18.000,30.000,7.500,18.000,critical_path,18.000,2.250,0
EXP-06A,canonical_m1,1,exp06a_canonical_m1_k100,b9848e6e8237dde836294860c52572b6c4924bbee59f8816e060071de963404a,OPTIMAL,36.00000,36.00000,36.000000,0.0,0.001585,36.00,60.00,15.00,36.00,critical_path,36.00,4.50,0
EXP-06A,canonical_m1,2,exp06a_canonical_m1_k200,1ec70c5d3be826332623fb18342391380ab71539abfa34bb8d1f4e39897d6263,OPTIMAL,72.00000,72.00000,72.000000,0.0,0.001673,72.00,120.00,30.00,72.00,critical_path,72.00,9.00,0
EXP-06A,canonical_m1,4,exp06a_canonical_m1_k400,4b613919cf4d89ae59bfd8433af6942f7adb2d746aa2a615cb410c925b61c1b0,OPTIMAL,144.00000,144.00000,144.000000,0.0,0.001402,144.00,240.00,60.00,144.00,critical_path,144.00,18.00,0
EXP-06A,canonical_m3_mixed_overhead,0.25,exp06a_canonical_m3_mixed_overhead_k025,b7b454314afbe5ef390d8a89b207bbb95fc6105e8de35a5b77195cbf01834380,OPTIMAL,7.6250000,7.6250000,7.62500000,0.0,0.003682,7.5000,15.60000,4.05000,7.5000,critical_path,7.62500,3.08750,0.1250000
EXP-06A,canonical_m3_mixed_overhead,0.5,exp06a_canonical_m3_mixed_overhead_k050,68d8d8f75bd6cd1b619b74b4d2c4c909769d4e73ac9370d8a6f31c004c4c6e30,OPTIMAL,15.250000,15.250000,15.2500000,0.0,0.004030,15.000,31.2000,8.1000,15.000,critical_path,15.2500,6.1750,0.250000
EXP-06A,canonical_m3_mixed_overhead,1,exp06a_canonical_m3_mixed_overhead_k100,cccd8af6e9f414d6dfc80966d4f37011b97c0cc8c8f7ba4ac3d3199cf5f10269,OPTIMAL,30.50000,30.50000,30.500000,0.0,0.004075,30.00,62.400,16.200,30.00,critical_path,30.500,12.350,0.50000
EXP-06A,canonical_m3_mixed_overhead,2,exp06a_canonical_m3_mixed_overhead_k200,7c7b342259be5ebe7dcf373223fd4fe8d8af86fb8b9b4eb7e103412e8dcdc235,OPTIMAL,61.00000,61.00000,61.000000,0.0,0.003888,60.00,124.800,32.400,60.00,critical_path,61.000,24.700,1.00000
EXP-06A,canonical_m3_mixed_overhead,4,exp06a_canonical_m3_mixed_overhead_k400,923afb569260d2f785dad06c6b4614bb1505719f3ddda260834ae8fb3443fed5,OPTIMAL,122.00000,122.00000,122.000000,0.0,0.004137,120.00,249.600,64.800,120.00,critical_path,122.000,49.400,2.00000
