experiment_id,mode,u,scenario_3_id,scenario_3_sha256,scenario_4_id,scenario_4_sha256,status_3,status_4,T3_star,T4_star,margin_T3_minus_T4,ratio_T3_to_T4,ranking_reversal,B4_3,B4_4,baseline_3,baseline_4,baseline_margin_3_minus_4,solver_gap_3,solver_gap_4,solver_wall_time_3,solver_wall_time_4
EXP-06C,critical_task_agent,0.000,exp06c_critical_task_agent_u000_v3,2f266457854625fb18b62cedd9a532adf88d85f0e5f3340f6ce357c3886e15ca,exp06c_critical_task_agent_u000_v4,bd204e517a495a6854c350e0ed9e899287f5883f5ce32e4707d5768e57e4583e,OPTIMAL,OPTIMAL,43.20,36.70,6.50,1.177111716621253405994550409,false,43.20,36.700,43.60,37.10,6.50,0.0,0.0,0.002900,0.005842
EXP-06C,critical_task_agent,0.005,exp06c_critical_task_agent_u005_v3,2f266457854625fb18b62cedd9a532adf88d85f0e5f3340f6ce357c3886e15ca,exp06c_critical_task_agent_u005_v4,bd204e517a495a6854c350e0ed9e899287f5883f5ce32e4707d5768e57e4583e,OPTIMAL,OPTIMAL,43.20,36.70,6.50,1.177111716621253405994550409,false,43.20,36.700,43.60,37.10,6.50,0.0,0.0,0.002824,0.005348
EXP-06C,critical_task_agent,0.010,exp06c_critical_task_agent_u010_v3,2f266457854625fb18b62cedd9a532adf88d85f0e5f3340f6ce357c3886e15ca,exp06c_critical_task_agent_u010_v4,bd204e517a495a6854c350e0ed9e899287f5883f5ce32e4707d5768e57e4583e,OPTIMAL,OPTIMAL,43.20,36.70,6.50,1.177111716621253405994550409,false,43.20,36.700,43.60,37.10,6.50,0.0,0.0,0.002687,0.005720
EXP-06C,critical_task_agent,0.015,exp06c_critical_task_agent_u015_v3,2f266457854625fb18b62cedd9a532adf88d85f0e5f3340f6ce357c3886e15ca,exp06c_critical_task_agent_u015_v4,bd204e517a495a6854c350e0ed9e899287f5883f5ce32e4707d5768e57e4583e,OPTIMAL,OPTIMAL,43.20,36.70,6.50,1.177111716621253405994550409,false,43.20,36.700,43.60,37.10,6.50,0.0,0.0,0.002887,0.005533
EXP-06C,critical_task_agent,0.020,exp06c_critical_task_agent_u020_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u020_v4,152a373eab7632be2600b5ab7c541550b085b4a2d10b602e8ab7c3926166297d,OPTIMAL,OPTIMAL,43.05,36.70,6.35,1.173024523160762942779291553,false,43.0500,36.700,43.45,37.10,6.35,0.0,0.0,0.002808,0.005314
EXP-06C,critical_task_agent,0.025,exp06c_critical_task_agent_u025_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u025_v4,152a373eab7632be2600b5ab7c541550b085b4a2d10b602e8ab7c3926166297d,OPTIMAL,OPTIMAL,43.05,36.70,6.35,1.173024523160762942779291553,false,43.0500,36.700,43.45,37.10,6.35,0.0,0.0,0.002807,0.005511
EXP-06C,critical_task_agent,0.030,exp06c_critical_task_agent_u030_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u030_v4,152a373eab7632be2600b5ab7c541550b085b4a2d10b602e8ab7c3926166297d,OPTIMAL,OPTIMAL,43.05,36.70,6.35,1.173024523160762942779291553,false,43.0500,36.700,43.45,37.10,6.35,0.0,0.0,0.002654,0.005084
EXP-06C,critical_task_agent,0.035,exp06c_critical_task_agent_u035_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u035_v4,d73201f8eec7a7a1efe293262252bbe8a1eb1be65f40c7d620a33d9016f4ab4b,OPTIMAL,OPTIMAL,43.05,36.75,6.30,1.171428571428571428571428571,false,43.0500,36.7500,43.45,37.15,6.30,0.0,0.0,0.002538,0.005382
EXP-06C,critical_task_agent,0.040,exp06c_critical_task_agent_u040_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u040_v4,d73201f8eec7a7a1efe293262252bbe8a1eb1be65f40c7d620a33d9016f4ab4b,OPTIMAL,OPTIMAL,43.05,36.75,6.30,1.171428571428571428571428571,false,43.0500,36.7500,43.45,37.15,6.30,0.0,0.0,0.002525,0.005307
EXP-06C,critical_task_agent,0.045,exp06c_critical_task_agent_u045_v3,d0f888c6ac6fc83dbe6ad620710cf2bd60b71e533003b7388740291c24392af8,exp06c_critical_task_agent_u045_v4,d73201f8eec7a7a1efe293262252bbe8a1eb1be65f40c7d620a33d9016f4ab4b,OPTIMAL,OPTIMAL,43.05,36.75,6.30,1.171428571428571428571428571,false,43.0500,36.7500,43.45,37.15,6.30,0.0,0.0,0.002563,0.005405
