claim,metric,estimator,dag_id,task_count,topology_family,weight_type,rho_l_bin,human_concentration_bin,observation_seed,paired_effect,detail
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s00,8,wide_layered,homogeneous,low,low,0,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s00,8,wide_layered,homogeneous,low,low,0,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s00,8,wide_layered,homogeneous,low,low,0,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s00,8,wide_layered,homogeneous,low,low,0,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s00,8,wide_layered,homogeneous,low,low,0,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s01,8,wide_layered,homogeneous,low,low,1,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s01,8,wide_layered,homogeneous,low,low,1,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s01,8,wide_layered,homogeneous,low,low,1,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s01,8,wide_layered,homogeneous,low,low,1,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s01,8,wide_layered,homogeneous,low,low,1,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s02,8,wide_layered,homogeneous,low,low,2,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s02,8,wide_layered,homogeneous,low,low,2,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s02,8,wide_layered,homogeneous,low,low,2,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s02,8,wide_layered,homogeneous,low,low,2,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s02,8,wide_layered,homogeneous,low,low,2,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s03,8,wide_layered,homogeneous,low,low,3,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s03,8,wide_layered,homogeneous,low,low,3,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s03,8,wide_layered,homogeneous,low,low,3,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s03,8,wide_layered,homogeneous,low,low,3,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s03,8,wide_layered,homogeneous,low,low,3,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s04,8,wide_layered,homogeneous,low,low,4,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s04,8,wide_layered,homogeneous,low,low,4,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s04,8,wide_layered,homogeneous,low,low,4,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s04,8,wide_layered,homogeneous,low,low,4,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s04,8,wide_layered,homogeneous,low,low,4,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s05,8,wide_layered,homogeneous,low,low,5,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s05,8,wide_layered,homogeneous,low,low,5,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s05,8,wide_layered,homogeneous,low,low,5,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s05,8,wide_layered,homogeneous,low,low,5,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s05,8,wide_layered,homogeneous,low,low,5,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s06,8,wide_layered,homogeneous,low,low,6,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s06,8,wide_layered,homogeneous,low,low,6,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s06,8,wide_layered,homogeneous,low,low,6,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s06,8,wide_layered,homogeneous,low,low,6,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s06,8,wide_layered,homogeneous,low,low,6,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s07,8,wide_layered,homogeneous,low,low,7,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s07,8,wide_layered,homogeneous,low,low,7,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s07,8,wide_layered,homogeneous,low,low,7,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s07,8,wide_layered,homogeneous,low,low,7,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s07,8,wide_layered,homogeneous,low,low,7,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s08,8,wide_layered,homogeneous,low,low,8,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s08,8,wide_layered,homogeneous,low,low,8,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s08,8,wide_layered,homogeneous,low,low,8,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s08,8,wide_layered,homogeneous,low,low,8,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s08,8,wide_layered,homogeneous,low,low,8,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s09,8,wide_layered,homogeneous,low,low,9,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s09,8,wide_layered,homogeneous,low,low,9,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s09,8,wide_layered,homogeneous,low,low,9,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s09,8,wide_layered,homogeneous,low,low,9,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s09,8,wide_layered,homogeneous,low,low,9,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s10,8,wide_layered,homogeneous,low,low,10,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s10,8,wide_layered,homogeneous,low,low,10,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s10,8,wide_layered,homogeneous,low,low,10,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s10,8,wide_layered,homogeneous,low,low,10,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s10,8,wide_layered,homogeneous,low,low,10,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s11,8,wide_layered,homogeneous,low,low,11,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s11,8,wide_layered,homogeneous,low,low,11,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s11,8,wide_layered,homogeneous,low,low,11,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s11,8,wide_layered,homogeneous,low,low,11,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s11,8,wide_layered,homogeneous,low,low,11,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s12,8,wide_layered,homogeneous,low,low,12,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s12,8,wide_layered,homogeneous,low,low,12,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s12,8,wide_layered,homogeneous,low,low,12,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s12,8,wide_layered,homogeneous,low,low,12,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s12,8,wide_layered,homogeneous,low,low,12,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s13,8,wide_layered,homogeneous,low,low,13,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s13,8,wide_layered,homogeneous,low,low,13,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s13,8,wide_layered,homogeneous,low,low,13,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s13,8,wide_layered,homogeneous,low,low,13,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s13,8,wide_layered,homogeneous,low,low,13,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s14,8,wide_layered,homogeneous,low,low,14,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s14,8,wide_layered,homogeneous,low,low,14,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s14,8,wide_layered,homogeneous,low,low,14,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s14,8,wide_layered,homogeneous,low,low,14,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s14,8,wide_layered,homogeneous,low,low,14,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s15,8,wide_layered,homogeneous,low,low,15,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s15,8,wide_layered,homogeneous,low,low,15,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s15,8,wide_layered,homogeneous,low,low,15,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s15,8,wide_layered,homogeneous,low,low,15,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s15,8,wide_layered,homogeneous,low,low,15,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s16,8,wide_layered,homogeneous,low,low,16,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s16,8,wide_layered,homogeneous,low,low,16,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s16,8,wide_layered,homogeneous,low,low,16,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s16,8,wide_layered,homogeneous,low,low,16,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s16,8,wide_layered,homogeneous,low,low,16,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s17,8,wide_layered,homogeneous,low,low,17,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s17,8,wide_layered,homogeneous,low,low,17,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s17,8,wide_layered,homogeneous,low,low,17,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s17,8,wide_layered,homogeneous,low,low,17,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s17,8,wide_layered,homogeneous,low,low,17,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s18,8,wide_layered,homogeneous,low,low,18,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s18,8,wide_layered,homogeneous,low,low,18,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s18,8,wide_layered,homogeneous,low,low,18,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s18,8,wide_layered,homogeneous,low,low,18,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s18,8,wide_layered,homogeneous,low,low,18,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s19,8,wide_layered,homogeneous,low,low,19,-0.102272727272727272727272727,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s19,8,wide_layered,homogeneous,low,low,19,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s19,8,wide_layered,homogeneous,low,low,19,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s19,8,wide_layered,homogeneous,low,low,19,2.4000,gain_P1=0.0000; gain_P4=2.4000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhlow_s19,8,wide_layered,homogeneous,low,low,19,1.600000,gain_zero=2.4000; gain_ro10=0.800000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,low,medium,0,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,low,medium,1,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,0,base=8; agent_cost=8
C2,delta_policy_optimal_p_human_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,-4,base=8; human_cost=4
C3,decomposition_interaction,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,1.2000,gain_P1=0.0000; gain_P4=1.2000
C3,overhead_attenuation,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s02,8,wide_layered,homogeneous,low,medium,2,0.800000,gain_zero=1.2000; gain_ro10=0.400000
C1,delta_tightness_sync_minus_staggered,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,-0.022727272727272727272727272,sync minus staggered
C2,delta_policy_optimal_p_agent_cost,baseline_policy,exp07_n8_wide_layered_homogeneous_rhmedium_s03,8,wide_layered,homogeneous,low,medium,3,0,base=8; agent_cost=8
