experiment_id,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,human_concentration_bin,observation_seed,accepted_attempt,raw_seed,acceptance_reason,rho_l,rho_h_cp,critical_path,weights_json,human_shares_json,predecessors_json
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s00,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,0,0,707000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s01,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,1,0,708000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s02,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,2,0,709000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s03,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,3,0,710000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s04,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,4,0,711000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s05,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,5,0,712000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s06,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,6,0,713000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s07,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,7,0,714000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s08,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,8,0,715000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-07,exp07_n8_wide_layered_homogeneous_rhlow_s09,n8_wide_layered_homogeneous_rhlow,8,wide_layered,homogeneous,low,low,9,0,716000,accepted_all_graph_and_bin_checks,0.25,0.1818181818181818181818181818,t01->t08,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""0.20"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.30"",""0.20""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
