experiment_id,dag_id,task_count,topology_family,weight_type,human_concentration_bin,observation_seed,claim,component,variant,phase_profile,P,C,gamma,B4,scenario_id,solver_status,solver_objective,solver_best_bound,solver_gap,solver_wall_time_seconds,exact_tightness_relative_gap
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,medium,0,C1,phase_profile,alternating_sync,alternating_sync,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s00_c1_alternating_sync,FEASIBLE,38.400,26.4000,0.3125,10.001092,0.454545454545454545454545455
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,medium,0,C1,phase_profile,alternating_staggered,alternating_staggered,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s00_c1_alternating_staggered,FEASIBLE,38.400,26.4000,0.3125,10.010344,0.454545454545454545454545455
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s00,8,wide_layered,homogeneous,medium,0,AUDIT,baseline_gap,P=4,io,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s00_c2_base_p04,FEASIBLE,40.800,26.4000,0.3529411764705882352941176471,10.000515,0.545454545454545454545454545
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,medium,1,C1,phase_profile,alternating_sync,alternating_sync,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s01_c1_alternating_sync,FEASIBLE,38.400,26.4000,0.3125,10.000849,0.454545454545454545454545455
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,medium,1,C1,phase_profile,alternating_staggered,alternating_staggered,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s01_c1_alternating_staggered,FEASIBLE,38.400,26.4000,0.3125,10.010703,0.454545454545454545454545455
EXP-07,exp07_n8_wide_layered_homogeneous_rhmedium_s01,8,wide_layered,homogeneous,medium,1,AUDIT,baseline_gap,P=4,io,4,1,1,26.40,exp07_n8_wide_layered_homogeneous_rhmedium_s01_c2_base_p04,FEASIBLE,40.800,26.4000,0.3529411764705882352941176471,10.000638,0.545454545454545454545454545
EXP-07,exp07_n8_mixed_homogeneous_rhmedium_s00,8,mixed,homogeneous,medium,0,C1,phase_profile,alternating_sync,alternating_sync,4,1,1,48.00,exp07_n8_mixed_homogeneous_rhmedium_s00_c1_alternating_sync,FEASIBLE,63.650,61.2000,0.03849175176747839748625294580,10.000691,0.326041666666666666666666667
EXP-07,exp07_n8_mixed_homogeneous_rhmedium_s00,8,mixed,homogeneous,medium,0,C1,phase_profile,alternating_staggered,alternating_staggered,4,1,1,48.00,exp07_n8_mixed_homogeneous_rhmedium_s00_c1_alternating_staggered,OPTIMAL,61.200,61.2000,0.0,0.314259,0.275
EXP-07,exp07_n8_mixed_homogeneous_rhmedium_s00,8,mixed,homogeneous,medium,0,AUDIT,baseline_gap,P=4,io,4,1,1,48.00,exp07_n8_mixed_homogeneous_rhmedium_s00_c2_base_p04,OPTIMAL,61.200,61.2000,0.0,0.007036,0.275
EXP-07,exp07_n8_mixed_homogeneous_rhmedium_s01,8,mixed,homogeneous,medium,1,C1,phase_profile,alternating_sync,alternating_sync,4,1,1,48.00,exp07_n8_mixed_homogeneous_rhmedium_s01_c1_alternating_sync,OPTIMAL,61.200,61.2000,0.0,1.644460,0.275
