experiment_id,stream,namespace,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,attempt,raw_seed,accepted,reason,rho_l,longest_path_count,rho_h_low,rho_h_high
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,0,0,13991428769505926376,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_01,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,1,0,5037203865155119018,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_02,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,2,0,4143969830578763026,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_03,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,3,0,9915171306460377192,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_04,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,4,0,16938683527426065736,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_05,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,5,0,11860787778288324346,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_06,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,6,0,16152427729140909885,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_07,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,7,0,192848084552594019,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_08,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,8,0,17526911179129724025,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_09,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,9,0,631671294251678460,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_10,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,10,0,6209908695486048490,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_11,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,11,0,12078901624161907898,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_12,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,12,0,4245020740478436213,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_13,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,13,0,18362440099073130637,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_14,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,14,0,14332015246363472838,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_15,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,15,0,15770869621340777159,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_16,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,16,0,14654553871029643111,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_17,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,17,0,7419489746047202046,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_18,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,18,0,843685751226921299,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_homogeneous_19,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,19,0,14962466573197199526,true,accepted_all_structural_and_allocator_checks,0.25,7,0.3,0.7
EXP-08,confirmatory,EXP-08-confirmatory-v1,exp08_confirmatory_n8_wide_layered_lognormal_00,n8_wide_layered_lognormal,8,wide_layered,lognormal,low,0,0,17474036545764217959,false,rho_l_outside_target_bin,0.3333333333333333333333333333,1,,
