experiment_id,stream,dag_id,cell_id,task_count,topology_family,weight_type,target_rho_l_bin,observation_index,accepted_attempt,raw_seed,rho_l,reference_path,reference_path_weight,longest_path_count,path_multiplicity,rho_h_low,rho_h_high,weights_json,human_low_json,human_high_json,predecessors_json
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,0,0,13991428769505926376,0.25,t01->t03,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_01,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,1,0,5037203865155119018,0.25,t01->t05,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""0.576"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_02,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,2,0,4143969830578763026,0.25,t01->t08,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344"",""1.728""]","[""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576"",""4.032""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_03,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,3,0,9915171306460377192,0.25,t01->t03,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_04,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,4,0,16938683527426065736,0.25,t01->t04,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_05,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,5,0,11860787778288324346,0.25,t01->t07,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344"",""1.728"",""1.344""]","[""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576"",""4.032"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_06,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,6,0,16152427729140909885,0.25,t01->t05,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""0.576"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_07,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,7,0,192848084552594019,0.25,t01->t03,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_08,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,8,0,17526911179129724025,0.25,t01->t07,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.344"",""1.344"",""1.728"",""1.344""]","[""4.032"",""0.576"",""0.576"",""0.576"",""0.576"",""0.576"",""4.032"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
EXP-08,confirmatory,exp08_confirmatory_n8_wide_layered_homogeneous_09,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,low,9,0,631671294251678460,0.25,t01->t05,24,7,tied,0.3,0.7,"[""12"",""12"",""12"",""12"",""12"",""12"",""12"",""12""]","[""1.728"",""1.344"",""1.344"",""1.344"",""1.728"",""1.344"",""1.344"",""1.344""]","[""4.032"",""0.576"",""0.576"",""0.576"",""4.032"",""0.576"",""0.576"",""0.576""]","{""t01"":[],""t02"":[""t01""],""t03"":[""t01""],""t04"":[""t01""],""t05"":[""t01""],""t06"":[""t01""],""t07"":[""t01""],""t08"":[""t01""]}"
