dag_id,allocation,total_human_share,target_concentration,actual_concentration,concentration_error,minimum_task_human_share,maximum_task_human_share,total_h_preserved,bounds_hold
exp08_development_n8_wide_layered_homogeneous_00,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_00,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_01,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_01,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_02,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_02,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_03,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_03,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_04,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_04,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_05,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_05,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_06,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_06,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_07,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_07,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_08,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_08,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_homogeneous_09,low,0.120,0.30,0.3,0.00,0.112,0.144,true,true
exp08_development_n8_wide_layered_homogeneous_09,high,0.120,0.70,0.7,0.00,0.048,0.336,true,true
exp08_development_n8_wide_layered_lognormal_00,low,0.120,0.30,0.3,0.00,0.1155,0.132,true,true
