dag_id,task_count,topology_family,weight_type,allocation,phase_profile,P,wall_time_seconds,outcome_recorded
exp08_development_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,low,io,8,0.000316958,false
exp08_development_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,high,io,8,0.000249708,false
exp08_development_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,low,io,8,0.000229667,false
exp08_development_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,high,io,8,0.000225792,false
exp08_development_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,low,io,8,0.000225416,false
exp08_development_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,high,io,8,0.000229292,false
exp08_development_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,low,io,8,0.000218084,false
exp08_development_n8_wide_layered_homogeneous_03,8,wide_layered,homogeneous,high,io,8,0.000226208,false
exp08_development_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,low,io,8,0.000217541,false
exp08_development_n8_wide_layered_homogeneous_04,8,wide_layered,homogeneous,high,io,8,0.000221958,false
exp08_development_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,low,io,8,0.000285792,false
exp08_development_n8_wide_layered_homogeneous_05,8,wide_layered,homogeneous,high,io,8,0.000230584,false
exp08_development_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,low,io,8,0.000223166,false
exp08_development_n8_wide_layered_homogeneous_06,8,wide_layered,homogeneous,high,io,8,0.000224833,false
exp08_development_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,low,io,8,0.000229625,false
exp08_development_n8_wide_layered_homogeneous_07,8,wide_layered,homogeneous,high,io,8,0.000221542,false
exp08_development_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,low,io,8,0.000217542,false
exp08_development_n8_wide_layered_homogeneous_08,8,wide_layered,homogeneous,high,io,8,0.000230042,false
exp08_development_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,low,io,8,0.000217375,false
exp08_development_n8_wide_layered_homogeneous_09,8,wide_layered,homogeneous,high,io,8,0.000218833,false
exp08_development_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,low,io,8,0.000222000,false
exp08_development_n8_wide_layered_lognormal_00,8,wide_layered,lognormal,high,io,8,0.000223041,false
exp08_development_n8_wide_layered_lognormal_01,8,wide_layered,lognormal,low,io,8,0.000223166,false
exp08_development_n8_wide_layered_lognormal_01,8,wide_layered,lognormal,high,io,8,0.000219917,false
exp08_development_n8_wide_layered_lognormal_02,8,wide_layered,lognormal,low,io,8,0.000219416,false
exp08_development_n8_wide_layered_lognormal_02,8,wide_layered,lognormal,high,io,8,0.000221667,false
exp08_development_n8_wide_layered_lognormal_03,8,wide_layered,lognormal,low,io,8,0.000222917,false
exp08_development_n8_wide_layered_lognormal_03,8,wide_layered,lognormal,high,io,8,0.000220417,false
exp08_development_n8_wide_layered_lognormal_04,8,wide_layered,lognormal,low,io,8,0.000223000,false
exp08_development_n8_wide_layered_lognormal_04,8,wide_layered,lognormal,high,io,8,0.000222083,false
exp08_development_n8_wide_layered_lognormal_05,8,wide_layered,lognormal,low,io,8,0.000220166,false
exp08_development_n8_wide_layered_lognormal_05,8,wide_layered,lognormal,high,io,8,0.000224208,false
exp08_development_n8_wide_layered_lognormal_06,8,wide_layered,lognormal,low,io,8,0.000231542,false
exp08_development_n8_wide_layered_lognormal_06,8,wide_layered,lognormal,high,io,8,0.000225250,false
exp08_development_n8_wide_layered_lognormal_07,8,wide_layered,lognormal,low,io,8,0.000223000,false
exp08_development_n8_wide_layered_lognormal_07,8,wide_layered,lognormal,high,io,8,0.000228333,false
exp08_development_n8_wide_layered_lognormal_08,8,wide_layered,lognormal,low,io,8,0.000225125,false
exp08_development_n8_wide_layered_lognormal_08,8,wide_layered,lognormal,high,io,8,0.000226500,false
exp08_development_n8_wide_layered_lognormal_09,8,wide_layered,lognormal,low,io,8,0.000334291,false
exp08_development_n8_wide_layered_lognormal_09,8,wide_layered,lognormal,high,io,8,0.000234542,false
exp08_development_n8_mixed_homogeneous_00,8,mixed,homogeneous,low,io,8,0.000232791,false
exp08_development_n8_mixed_homogeneous_00,8,mixed,homogeneous,high,io,8,0.000227958,false
exp08_development_n8_mixed_homogeneous_01,8,mixed,homogeneous,low,io,8,0.000224083,false
exp08_development_n8_mixed_homogeneous_01,8,mixed,homogeneous,high,io,8,0.000224042,false
exp08_development_n8_mixed_homogeneous_02,8,mixed,homogeneous,low,io,8,0.000222166,false
exp08_development_n8_mixed_homogeneous_02,8,mixed,homogeneous,high,io,8,0.000229167,false
exp08_development_n8_mixed_homogeneous_03,8,mixed,homogeneous,low,io,8,0.000225125,false
exp08_development_n8_mixed_homogeneous_03,8,mixed,homogeneous,high,io,8,0.000226875,false
exp08_development_n8_mixed_homogeneous_04,8,mixed,homogeneous,low,io,8,0.000226667,false
exp08_development_n8_mixed_homogeneous_04,8,mixed,homogeneous,high,io,8,0.000226125,false
exp08_development_n8_mixed_homogeneous_05,8,mixed,homogeneous,low,io,8,0.000226083,false
exp08_development_n8_mixed_homogeneous_05,8,mixed,homogeneous,high,io,8,0.000225000,false
exp08_development_n8_mixed_homogeneous_06,8,mixed,homogeneous,low,io,8,0.000224167,false
exp08_development_n8_mixed_homogeneous_06,8,mixed,homogeneous,high,io,8,0.000221916,false
exp08_development_n8_mixed_homogeneous_07,8,mixed,homogeneous,low,io,8,0.000223958,false
exp08_development_n8_mixed_homogeneous_07,8,mixed,homogeneous,high,io,8,0.000229291,false
exp08_development_n8_mixed_homogeneous_08,8,mixed,homogeneous,low,io,8,0.000228083,false
exp08_development_n8_mixed_homogeneous_08,8,mixed,homogeneous,high,io,8,0.000238708,false
exp08_development_n8_mixed_homogeneous_09,8,mixed,homogeneous,low,io,8,0.000224333,false
exp08_development_n8_mixed_homogeneous_09,8,mixed,homogeneous,high,io,8,0.000225417,false
exp08_development_n8_mixed_lognormal_00,8,mixed,lognormal,low,io,8,0.000230500,false
exp08_development_n8_mixed_lognormal_00,8,mixed,lognormal,high,io,8,0.000229166,false
exp08_development_n8_mixed_lognormal_01,8,mixed,lognormal,low,io,8,0.000229208,false
exp08_development_n8_mixed_lognormal_01,8,mixed,lognormal,high,io,8,0.000225708,false
exp08_development_n8_mixed_lognormal_02,8,mixed,lognormal,low,io,8,0.000233333,false
exp08_development_n8_mixed_lognormal_02,8,mixed,lognormal,high,io,8,0.000237625,false
exp08_development_n8_mixed_lognormal_03,8,mixed,lognormal,low,io,8,0.000345833,false
exp08_development_n8_mixed_lognormal_03,8,mixed,lognormal,high,io,8,0.000288958,false
exp08_development_n8_mixed_lognormal_04,8,mixed,lognormal,low,io,8,0.000245084,false
exp08_development_n8_mixed_lognormal_04,8,mixed,lognormal,high,io,8,0.000235750,false
exp08_development_n8_mixed_lognormal_05,8,mixed,lognormal,low,io,8,0.000244709,false
exp08_development_n8_mixed_lognormal_05,8,mixed,lognormal,high,io,8,0.000240834,false
exp08_development_n8_mixed_lognormal_06,8,mixed,lognormal,low,io,8,0.000232667,false
exp08_development_n8_mixed_lognormal_06,8,mixed,lognormal,high,io,8,0.000236375,false
exp08_development_n8_mixed_lognormal_07,8,mixed,lognormal,low,io,8,0.000235750,false
exp08_development_n8_mixed_lognormal_07,8,mixed,lognormal,high,io,8,0.000227542,false
exp08_development_n8_mixed_lognormal_08,8,mixed,lognormal,low,io,8,0.000238042,false
exp08_development_n8_mixed_lognormal_08,8,mixed,lognormal,high,io,8,0.000230917,false
exp08_development_n8_mixed_lognormal_09,8,mixed,lognormal,low,io,8,0.000243917,false
exp08_development_n8_mixed_lognormal_09,8,mixed,lognormal,high,io,8,0.000237333,false
exp08_development_n8_chain_like_homogeneous_00,8,chain_like,homogeneous,low,io,8,0.000228167,false
exp08_development_n8_chain_like_homogeneous_00,8,chain_like,homogeneous,high,io,8,0.000226125,false
exp08_development_n8_chain_like_homogeneous_01,8,chain_like,homogeneous,low,io,8,0.000237750,false
exp08_development_n8_chain_like_homogeneous_01,8,chain_like,homogeneous,high,io,8,0.000230375,false
exp08_development_n8_chain_like_homogeneous_02,8,chain_like,homogeneous,low,io,8,0.000234708,false
exp08_development_n8_chain_like_homogeneous_02,8,chain_like,homogeneous,high,io,8,0.000224667,false
exp08_development_n8_chain_like_homogeneous_03,8,chain_like,homogeneous,low,io,8,0.000237000,false
exp08_development_n8_chain_like_homogeneous_03,8,chain_like,homogeneous,high,io,8,0.000224125,false
exp08_development_n8_chain_like_homogeneous_04,8,chain_like,homogeneous,low,io,8,0.000231792,false
exp08_development_n8_chain_like_homogeneous_04,8,chain_like,homogeneous,high,io,8,0.000228792,false
exp08_development_n8_chain_like_homogeneous_05,8,chain_like,homogeneous,low,io,8,0.000237833,false
exp08_development_n8_chain_like_homogeneous_05,8,chain_like,homogeneous,high,io,8,0.000227208,false
exp08_development_n8_chain_like_homogeneous_06,8,chain_like,homogeneous,low,io,8,0.000223625,false
exp08_development_n8_chain_like_homogeneous_06,8,chain_like,homogeneous,high,io,8,0.000329000,false
exp08_development_n8_chain_like_homogeneous_07,8,chain_like,homogeneous,low,io,8,0.000255750,false
exp08_development_n8_chain_like_homogeneous_07,8,chain_like,homogeneous,high,io,8,0.000248333,false
exp08_development_n8_chain_like_homogeneous_08,8,chain_like,homogeneous,low,io,8,0.000239500,false
exp08_development_n8_chain_like_homogeneous_08,8,chain_like,homogeneous,high,io,8,0.000240583,false
exp08_development_n8_chain_like_homogeneous_09,8,chain_like,homogeneous,low,io,8,0.000271458,false
exp08_development_n8_chain_like_homogeneous_09,8,chain_like,homogeneous,high,io,8,0.000254792,false
exp08_development_n8_chain_like_lognormal_00,8,chain_like,lognormal,low,io,8,0.000270708,false
exp08_development_n8_chain_like_lognormal_00,8,chain_like,lognormal,high,io,8,0.000251750,false
exp08_development_n8_chain_like_lognormal_01,8,chain_like,lognormal,low,io,8,0.000265375,false
exp08_development_n8_chain_like_lognormal_01,8,chain_like,lognormal,high,io,8,0.000261458,false
exp08_development_n8_chain_like_lognormal_02,8,chain_like,lognormal,low,io,8,0.000243125,false
exp08_development_n8_chain_like_lognormal_02,8,chain_like,lognormal,high,io,8,0.000305333,false
exp08_development_n8_chain_like_lognormal_03,8,chain_like,lognormal,low,io,8,0.000241709,false
exp08_development_n8_chain_like_lognormal_03,8,chain_like,lognormal,high,io,8,0.000227333,false
exp08_development_n8_chain_like_lognormal_04,8,chain_like,lognormal,low,io,8,0.000224916,false
exp08_development_n8_chain_like_lognormal_04,8,chain_like,lognormal,high,io,8,0.000227042,false
exp08_development_n8_chain_like_lognormal_05,8,chain_like,lognormal,low,io,8,0.000222292,false
exp08_development_n8_chain_like_lognormal_05,8,chain_like,lognormal,high,io,8,0.000222250,false
exp08_development_n8_chain_like_lognormal_06,8,chain_like,lognormal,low,io,8,0.000228709,false
exp08_development_n8_chain_like_lognormal_06,8,chain_like,lognormal,high,io,8,0.000234709,false
exp08_development_n8_chain_like_lognormal_07,8,chain_like,lognormal,low,io,8,0.000223208,false
exp08_development_n8_chain_like_lognormal_07,8,chain_like,lognormal,high,io,8,0.000227625,false
exp08_development_n8_chain_like_lognormal_08,8,chain_like,lognormal,low,io,8,0.000223625,false
exp08_development_n8_chain_like_lognormal_08,8,chain_like,lognormal,high,io,8,0.000222917,false
exp08_development_n8_chain_like_lognormal_09,8,chain_like,lognormal,low,io,8,0.000223416,false
exp08_development_n8_chain_like_lognormal_09,8,chain_like,lognormal,high,io,8,0.000308750,false
exp08_development_n16_wide_layered_homogeneous_00,16,wide_layered,homogeneous,low,io,8,0.000550166,false
exp08_development_n16_wide_layered_homogeneous_00,16,wide_layered,homogeneous,high,io,8,0.000537292,false
exp08_development_n16_wide_layered_homogeneous_01,16,wide_layered,homogeneous,low,io,8,0.000517167,false
exp08_development_n16_wide_layered_homogeneous_01,16,wide_layered,homogeneous,high,io,8,0.000525708,false
exp08_development_n16_wide_layered_homogeneous_02,16,wide_layered,homogeneous,low,io,8,0.000496875,false
exp08_development_n16_wide_layered_homogeneous_02,16,wide_layered,homogeneous,high,io,8,0.000528208,false
exp08_development_n16_wide_layered_homogeneous_03,16,wide_layered,homogeneous,low,io,8,0.000605750,false
exp08_development_n16_wide_layered_homogeneous_03,16,wide_layered,homogeneous,high,io,8,0.000537042,false
exp08_development_n16_wide_layered_homogeneous_04,16,wide_layered,homogeneous,low,io,8,0.000514917,false
exp08_development_n16_wide_layered_homogeneous_04,16,wide_layered,homogeneous,high,io,8,0.000524917,false
exp08_development_n16_wide_layered_homogeneous_05,16,wide_layered,homogeneous,low,io,8,0.000522375,false
exp08_development_n16_wide_layered_homogeneous_05,16,wide_layered,homogeneous,high,io,8,0.000521750,false
exp08_development_n16_wide_layered_homogeneous_06,16,wide_layered,homogeneous,low,io,8,0.000528459,false
exp08_development_n16_wide_layered_homogeneous_06,16,wide_layered,homogeneous,high,io,8,0.000510917,false
exp08_development_n16_wide_layered_homogeneous_07,16,wide_layered,homogeneous,low,io,8,0.000521083,false
exp08_development_n16_wide_layered_homogeneous_07,16,wide_layered,homogeneous,high,io,8,0.000529458,false
exp08_development_n16_wide_layered_homogeneous_08,16,wide_layered,homogeneous,low,io,8,0.000559417,false
exp08_development_n16_wide_layered_homogeneous_08,16,wide_layered,homogeneous,high,io,8,0.000494250,false
exp08_development_n16_wide_layered_homogeneous_09,16,wide_layered,homogeneous,low,io,8,0.000499125,false
