pair_type,dag_id,task_count,topology_family,weight_type,path_multiplicity,observation_index,phase_profile,P,path_stable,path_transition,delta_reference_path_length,delta_reference_path_length_normalized,delta_L4,delta_B4,theoretical_delta,identity_holds,delta_makespan,delta_makespan_normalized,delta_queue,delta_queue_normalized,delta_blocked_any,delta_blocked_any_normalized
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,4,,,,,,,,,-0.960,-0.04,-3.552,-0.148,-1.920,-0.08
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,8,,,,,,,,,-0.768,-0.032,0.000,0,-0.384,-0.016
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,4,,,,,,,,,-0.480,-0.02,-1.488,-0.062,-0.672,-0.028
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,equal_alternating,8,,,,,,,,,-0.384,-0.016,0.576,0.024,0.384,0.016
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_00,8,wide_layered,homogeneous,tied,0,io,4,true,t01->t03 => t01->t03,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,4,,,,,,,,,-1.248,-0.052,-2.016,-0.084,-2.112,-0.088
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,8,,,,,,,,,-0.768,-0.032,-0.192,-0.008,0.768,0.032
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,4,,,,,,,,,-0.336,-0.014,-0.144,-0.006,1.472,0.06133333333333333333333333333
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,equal_alternating,8,,,,,,,,,-0.384,-0.016,1.344,0.056,2.688,0.112
differentiated_slowdown,exp08_confirmatory_n8_wide_layered_homogeneous_01,8,wide_layered,homogeneous,tied,1,io,4,true,t01->t05 => t01->t05,1.3824,0.05521472392638036809815950920,1.3824,1.3824,1.382400,true,,,,,,
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,1,,,,,,,,,0.000,0,0,0,0,0
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,4,,,,,,,,,-1.344,-0.056,-2.784,-0.116,-1.344,-0.056
schedule_policy,exp08_confirmatory_n8_wide_layered_homogeneous_02,8,wide_layered,homogeneous,tied,2,io,8,,,,,,,,,-0.768,-0.032,2.112,0.088,0.960,0.04
