experiment_id,block,dag_id,cell_id,task_count,topology_family,weight_type,path_multiplicity,longest_path_count,observation_index,raw_seed,allocation,actual_rho_h_p0,phase_profile,P,C,gamma,H,W4,L4,B4,active_branches,critical_path,reference_path,reference_path_length,policy_makespan,policy_queue,policy_blocked_any
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,io,1,1,1,11.520,96.000,24.000,96.000,work,t01->t08,t01->t03,24.000,96.000,0,0
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,io,1,1,1,11.520,96.000,24.000,96.000,work,t01->t08,t01->t03,24.000,96.000,0,0
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,io,4,1,1,11.520,96.000,24.000,24.000,"work,critical_path",t01->t08,t01->t03,24.000,39.552,10.176,5.952
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,io,4,1,1,11.520,96.000,24.000,24.000,"work,critical_path",t01->t08,t01->t03,24.000,38.592,6.624,4.032
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,io,8,1,1,11.520,96.000,24.000,24.000,critical_path,t01->t08,t01->t03,24.000,28.224,15.264,4.416
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,io,8,1,1,11.520,96.000,24.000,24.000,critical_path,t01->t08,t01->t03,24.000,27.456,15.264,4.032
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,equal_alternating,1,1,1,11.520,96.000,24.000,96.000,work,t01->t08,t01->t03,24.000,96.000,0,0
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,equal_alternating,1,1,1,11.520,96.000,24.000,96.000,work,t01->t08,t01->t03,24.000,96.000,0,0
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,equal_alternating,4,1,1,11.520,96.000,24.000,24.000,"work,critical_path",t01->t08,t01->t03,24.000,37.776,5.088,2.976
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,equal_alternating,4,1,1,11.520,96.000,24.000,24.000,"work,critical_path",t01->t08,t01->t03,24.000,37.296,3.600,2.304
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,equal_alternating,8,1,1,11.520,96.000,24.000,24.000,critical_path,t01->t08,t01->t03,24.000,26.112,7.632,2.208
EXP-08,AB,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,high,0.7,equal_alternating,8,1,1,11.520,96.000,24.000,24.000,critical_path,t01->t08,t01->t03,24.000,25.728,8.208,2.592
EXP-08,C,exp08_confirmatory_n8_wide_layered_homogeneous_00,n8_wide_layered_homogeneous,8,wide_layered,homogeneous,tied,7,0,13991428769505926376,low,0.3,io,4,1,1.3,11.520,99.4560,25.0368,25.0368,critical_path,t01->t03,t01->t03,25.0368,,,
