stratum_field,stratum_value,phase_profile,P,n,mean_delta_makespan_normalized,median_delta_makespan_normalized,negative_rate,zero_rate,positive_rate
task_count,16,equal_alternating,1,120,0,0,0,1,0
task_count,16,equal_alternating,4,120,0.001770050675400866122763406905,-0.00550000000000000000000000000,0.6916666666666666666666666667,0,0.3083333333333333333333333333
task_count,16,equal_alternating,8,120,-0.004257123170808293411678667684,-0.007246452945402298850574712645,0.8083333333333333333333333333,0,0.1916666666666666666666666667
task_count,16,io,1,120,0,0,0,1,0
task_count,16,io,4,120,-0.002895928307122911256582143537,-0.00787106446776611694152923538,0.6416666666666666666666666667,0.09166666666666666666666666667,0.2666666666666666666666666667
task_count,16,io,8,120,-0.02037984954664117464971669348,-0.01318518518518518518518518518,0.75,0.1,0.15
task_count,32,equal_alternating,1,120,0,0,0,1,0
task_count,32,equal_alternating,4,120,0.001781177559887100642329862256,-0.00616067351598173515981735160,0.65,0,0.35
task_count,32,equal_alternating,8,120,-0.006826849254931334571403058661,-0.00777943588646412779917272857,0.8583333333333333333333333333,0,0.1416666666666666666666666667
task_count,32,io,1,120,0,0,0,1,0
task_count,32,io,4,120,0.001324988114671516453413740763,-0.004715725806451612903225806452,0.65,0.008333333333333333333333333333,0.3416666666666666666666666667
task_count,32,io,8,120,-0.01451540697834958892915796747,-0.011,0.8583333333333333333333333333,0.008333333333333333333333333333,0.1333333333333333333333333333
task_count,64,equal_alternating,1,120,0,0,0,1,0
task_count,64,equal_alternating,4,120,-0.001448078106465241494297230751,-0.00551149425287356321839080460,0.65,0,0.35
task_count,64,equal_alternating,8,120,-0.005692872735744142798663584978,-0.00609316976127320954907161804,0.8,0,0.2
task_count,64,io,1,120,0,0,0,1,0
task_count,64,io,4,120,-0.003103216762103165164435374690,-0.006916666666666666666666666665,0.6916666666666666666666666667,0,0.3083333333333333333333333333
task_count,64,io,8,120,-0.01141201476960612817472190384,-0.00967632113821138211382113821,0.8583333333333333333333333333,0,0.1416666666666666666666666667
task_count,8,equal_alternating,1,120,0,0,0,1,0
task_count,8,equal_alternating,4,120,-0.002087610356127432365822458702,-0.008,0.8333333333333333333333333333,0.04166666666666666666666666667,0.125
task_count,8,equal_alternating,8,120,-0.007102995996494690380139296548,-0.00785185185185185185185185185,0.8,0.04166666666666666666666666667,0.1583333333333333333333333333
task_count,8,io,1,120,0,0,0,1,0
task_count,8,io,4,120,-0.01047630895249735549013154792,-0.012,0.725,0.1166666666666666666666666667,0.1583333333333333333333333333
task_count,8,io,8,120,-0.006541742607440814355159040402,-0.012,0.675,0.1083333333333333333333333333,0.2166666666666666666666666667
topology_family,chain_like,equal_alternating,1,160,0,0,0,1,0
topology_family,chain_like,equal_alternating,4,160,-0.009986642078109386615369703950,-0.008166666666666666666666666665,0.98125,0,0.01875
topology_family,chain_like,equal_alternating,8,160,-0.009986642078109386615369703950,-0.008166666666666666666666666665,0.98125,0,0.01875
topology_family,chain_like,io,1,160,0,0,0,1,0
topology_family,chain_like,io,4,160,-0.008024100379077309164899945681,-0.00769047619047619047619047619,0.825,0.08125,0.09375
topology_family,chain_like,io,8,160,-0.008024100379077309164899945681,-0.00769047619047619047619047619,0.825,0.08125,0.09375
topology_family,mixed,equal_alternating,1,160,0,0,0,1,0
topology_family,mixed,equal_alternating,4,160,-0.007036595465569246461490844460,-0.00675,0.84375,0.03125,0.125
topology_family,mixed,equal_alternating,8,160,-0.007036595465569246461490844460,-0.00675,0.84375,0.03125,0.125
topology_family,mixed,io,1,160,0,0,0,1,0
topology_family,mixed,io,4,160,-0.01483347901491833538871827408,-0.01464204182630906768837803320,0.85,0.075,0.075
topology_family,mixed,io,8,160,-0.01483347901491833538871827408,-0.01464204182630906768837803320,0.85,0.075,0.075
topology_family,wide_layered,equal_alternating,1,160,0,0,0,1,0
topology_family,wide_layered,equal_alternating,4,160,0.01703489237320010275559073319,0.01125471230158730158730158730,0.29375,0,0.70625
topology_family,wide_layered,equal_alternating,8,160,-0.0008866433248052127945529074934,-0.004684722222222222222222222222,0.625,0,0.375
topology_family,wide_layered,io,1,160,0,0,0,1,0
topology_family,wide_layered,io,4,160,0.01149472996370670796031672572,0.01150868055555555555555555556,0.35625,0.00625,0.6375
topology_family,wide_layered,io,8,160,-0.01677918103253263502794848414,-0.02362179487179487179487179488,0.68125,0.00625,0.3125
weight_type,homogeneous,equal_alternating,1,240,0,0,0,1,0
weight_type,homogeneous,equal_alternating,4,240,-0.003428703561165845648604269294,-0.006,0.7125,0,0.2875
weight_type,homogeneous,equal_alternating,8,240,-0.009905250480681515164273784963,-0.00675,0.9083333333333333333333333333,0,0.09166666666666666666666666667
weight_type,homogeneous,io,1,240,0,0,0,1,0
weight_type,homogeneous,io,4,240,-0.008531498657293377120963327860,-0.01190086206896551724137931034,0.7583333333333333333333333333,0.004166666666666666666666666667,0.2375
weight_type,homogeneous,io,8,240,-0.02452134129440163922922543612,-0.01978756157635467980295566502,0.9541666666666666666666666667,0.004166666666666666666666666667,0.04166666666666666666666666667
weight_type,lognormal,equal_alternating,1,240,0,0,0,1,0
weight_type,lognormal,equal_alternating,4,240,0.003436473447513492101091059148,-0.00733092718794835007173601148,0.7,0.02083333333333333333333333333,0.2791666666666666666666666667
weight_type,lognormal,equal_alternating,8,240,-0.002034670098307715416668518972,-0.00725245949074074074074074074,0.725,0.02083333333333333333333333333,0.2541666666666666666666666667
weight_type,lognormal,io,1,240,0,0,0,1,0
weight_type,lognormal,io,4,240,0.0009562657037674193920956651657,-0.004070849280116639329323856388,0.5958333333333333333333333333,0.1041666666666666666666666667,0.3
weight_type,lognormal,io,8,240,-0.001903165656617213825152366474,-0.004229918938835666912306558585,0.6166666666666666666666666667,0.1041666666666666666666666667,0.2791666666666666666666666667
path_multiplicity,tied,equal_alternating,1,382,0,0,0,1,0
