summary_type,scope,phase_profile,P,metric,n,mean,median,q25,q75,bootstrap_ci_low,bootstrap_ci_high,margin,decision,decision_margin_0.005,decision_margin_0.02,negative_beyond_margin_rate,within_margin_rate,positive_beyond_margin_rate
schedule,overall,io,1,delta_makespan_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,io,1,delta_queue_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,io,1,delta_blocked_any_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,io,4,delta_makespan_normalized,480,-0.003787616476762978864433831347,-0.00769047619047619047619047619,-0.01654172127566622979467016164,0.001820077805815909637106464792,-0.009000,-0.0065000,0.01,practically_equivalent,negative,practically_equivalent,0.4354166666666666666666666667,0.3833333333333333333333333333,0.18125
schedule,overall,io,4,delta_queue_normalized,480,0.01380752656733806433333739173,-0.001171435124824955333429909701,-0.01600,0.01800,-0.003577380952380952380952380952,0.002046966374269005847953216374,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.3208333333333333333333333333,0.3479166666666666666666666667,0.33125
schedule,overall,io,4,delta_blocked_any_normalized,480,-0.002289181462863992461572754841,-0.003448049748354626403406891212,-0.01836696376388077147866744593,0.009102945243362831858407079646,-0.004931127450980392156862745098,-0.001616512345679012345679012346,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.3645833333333333333333333333,0.3958333333333333333333333333,0.2395833333333333333333333333
schedule,overall,io,8,delta_makespan_normalized,480,-0.01321225347550942652718890130,-0.01167169540229885057471264368,-0.02401339285714285714285714286,-0.002405208333333333333333333333,-0.012000,-0.01009065402476780185758513932,0.01,negative,negative,practically_equivalent,0.5458333333333333333333333333,0.3645833333333333333333333333,0.08958333333333333333333333333
schedule,overall,io,8,delta_queue_normalized,480,0.006899118609696512283499637464,-0.001083116036505867014341590612,-0.01412513528138528138528138528,0.01800,-0.003822282608695652173913043478,0.001412601626016260162601626016,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.3166666666666666666666666667,0.3541666666666666666666666667,0.3291666666666666666666666667
schedule,overall,io,8,delta_blocked_any_normalized,480,-0.009798997569808828027852052345,-0.004930555555555555555555555556,-0.02224270833333333333333333333,0.006090277777777777777777777778,-0.007933333333333333333333333335,-0.003666666666666666666666666667,0.01,practically_equivalent,inconclusive,practically_equivalent,0.40625,0.40625,0.1875
schedule,overall,equal_alternating,1,delta_makespan_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,equal_alternating,1,delta_queue_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,equal_alternating,1,delta_blocked_any_normalized,480,0,0,0.00,0.00,0.000,0.000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0,1,0
schedule,overall,equal_alternating,4,delta_makespan_normalized,480,0.000003884943173823226243394926981,-0.006,-0.01129534907183212267958030670,0.001711484593837535014005602240,-0.006705254515599343185550082100,-0.005806480911330049261083743844,0.01,practically_equivalent,negative,practically_equivalent,0.2708333333333333333333333333,0.5541666666666666666666666667,0.175
schedule,overall,equal_alternating,4,delta_queue_normalized,480,0.01866000023096472438566949211,-0.003089506172839506172839506173,-0.01126660628019323671497584541,0.01370052083333333333333333333,-0.004519066764132553606237816764,-0.002000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.2729166666666666666666666667,0.4625,0.2645833333333333333333333333
schedule,overall,equal_alternating,4,delta_blocked_any_normalized,480,0.007531960521406611824804809495,-0.003266304347826086956521739130,-0.01066666666666666666666666667,0.01330267857142857142857142857,-0.004186946152652474849408761033,-0.002000,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.2520833333333333333333333333,0.4770833333333333333333333333,0.2708333333333333333333333333
schedule,overall,equal_alternating,8,delta_makespan_normalized,480,-0.005969960289494615290471151968,-0.006916666666666666666666666665,-0.01312896732332707942464040025,-0.002713541666666666666666666667,-0.007909883720930232558139534885,-0.0065000,0.01,practically_equivalent,negative,practically_equivalent,0.35625,0.5645833333333333333333333333,0.07916666666666666666666666667
schedule,overall,equal_alternating,8,delta_queue_normalized,480,0.03182915299882404448358305559,-0.002283029878618113912231559290,-0.01084461546434494195688225539,0.03817613636363636363636363636,-0.003542518939393939393939393938,-0.001270730706075533661740558292,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.2645833333333333333333333333,0.4229166666666666666666666667,0.3125
schedule,overall,equal_alternating,8,delta_blocked_any_normalized,480,0.005712113581574779627336705261,-0.003720648604269293924466338260,-0.01142638062169312169312169313,0.01083901515151515151515151515,-0.004849882884188158021829421424,-0.002595663265306122448979591837,0.01,practically_equivalent,practically_equivalent,practically_equivalent,0.275,0.46875,0.25625
slowdown,all,io,4,delta_reference_path_length_normalized,480,0.03340675742273869457239444875,0.02779922779922779922779922780,0.01852478252555338699104357227,0.05189812590100913022585295531,0.02756939649686708064256332426,0.03044661811804178744441840715,,positive,,,0,0,1
slowdown,all,io,4,delta_L4,480,6.3270925,3.8016,1.382400,11.012175,3.11594625,4.6521000,,exploratory_only,,,0.1104166666666666666666666667,0.03125,0.8583333333333333333333333333
slowdown,all,io,4,delta_B4,480,5.3362225,2.27295,0.000000,7.128000,1.5579000,3.1104000,,exploratory_only,,,0.1104166666666666666666666667,0.18125,0.7083333333333333333333333333
